atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
1,0.071,1e+09,15000,1000000,1,0.005095,5.06904e-09,7.11972e-05,0,0,0,21.5203
2,0.126,1e+09,15000,1000000,1,0.011767,1.16285e-08,0.000107836,0,0,0,30.156
3,0.53,1e+09,15000,1000000,1,0.021182,2.07333e-08,0.000143991,0,0,0,35.0725
4,1.85,1e+09,15000,1000000,1,0.031995,3.09713e-08,0.000175987,0,0,0,39.3342
5,2.34,1e+09,15000,1000000,1,0.045304,4.32515e-08,0.00020797,0,0,0,43.0873
6,2.26,1e+09,15000,1000000,1,0.059231,5.57227e-08,0.000236057,0,0,0,46.3035
7,0.81,1e+09,15000,1000000,1,0.073895,6.84345e-08,0.0002616,0,0,0,49.3399
8,1.14,1e+09,15000,1000000,1,0.088662,8.0801e-08,0.000284255,0,0,0,52.1606
9,1.505,1e+09,15000,1000000,1,0.103703,9.29487e-08,0.000304875,0,0,0,54.7802
10,1.2,1e+09,15000,1000000,1,0.118853,1.04727e-07,0.000323615,0,0,0,57.2072
11,0.97,1e+09,15000,1000000,1,0.133291,1.15525e-07,0.000339889,0,0,0,59.5969
12,1.74,1e+09,15000,1000000,1,0.147712,1.25893e-07,0.000354814,0,0,0,61.6639
13,2.7,1e+09,15000,1000000,1,0.162148,1.35856e-07,0.000368587,0,0,0,63.6758
14,2.33,1e+09,15000,1000000,1,0.175523,1.44715e-07,0.000380414,0,0,0,65.619
15,1.82,1e+09,15000,1000000,1,0.188075,1.52703e-07,0.000390772,0,0,0,67.4781
16,2.07,1e+09,15000,1000000,1,0.200384,1.6023e-07,0.000400288,0,0,0,69.222
17,1.56,1e+09,15000,1000000,1,0.21371,1.68038e-07,0.000409924,0,0,0,70.8998
18,1.4,1e+09,15000,1000000,1,0.22467,1.74193e-07,0.000417365,0,0,0,72.5821
19,0.86,1e+09,15000,1000000,1,0.237086,1.80876e-07,0.000425295,0,0,0,74.3206
20,1.55,1e+09,15000,1000000,1,0.247604,1.86296e-07,0.000431621,0,0,0,75.4909
21,3,1e+09,15000,1000000,1,0.257984,1.91428e-07,0.000437525,0,0,0,76.9365
22,4.51,1e+09,15000,1000000,1,0.267586,1.95984e-07,0.0004427,0,0,0,78.3418
23,6.1,1e+09,15000,1000000,1,0.277573,2.00526e-07,0.000447802,0,0,0,79.6519
24,7.19,1e+09,15000,1000000,1,0.287039,2.04648e-07,0.00045238,0,0,0,80.9647
25,7.43,1e+09,15000,1000000,1,0.295684,2.08255e-07,0.00045635,0,0,0,82.2288
26,7.86,1e+09,15000,1000000,1,0.304766,2.11884e-07,0.000460308,0,0,0,83.4438
27,8.9,1e+09,15000,1000000,1,0.312408,2.14809e-07,0.000463475,0,0,0,84.7187
28,8.9,1e+09,15000,1000000,1,0.321073,2.17985e-07,0.000466889,0,0,0,85.8313
29,8.96,1e+09,15000,1000000,1,0.329374,2.20887e-07,0.000469986,0,0,0,86.9295
30,7.14,1e+09,15000,1000000,1,0.336802,2.23366e-07,0.000472617,0,0,0,88.0628
31,5.91,1e+09,15000,1000000,1,0.344415,2.25793e-07,0.000475177,0,0,0,89.0929
32,5.32,1e+09,15000,1000000,1,0.351001,2.27799e-07,0.000477283,0,0,0,90.2193
33,5.72,1e+09,15000,1000000,1,0.357927,2.29815e-07,0.000479391,0,0,0,91.2648
34,4.79,1e+09,15000,1000000,1,0.364268,2.31577e-07,0.000481224,0,0,0,92.3153
35,3.12,1e+09,15000,1000000,1,0.372081,2.33637e-07,0.00048336,0,0,0,93.1997
36,2.6,1e+09,15000,1000000,1,0.378453,2.35226e-07,0.000485001,0,0,0,94.1551
37,1.53,1e+09,15000,1000000,1,0.38377,2.36491e-07,0.000486303,0,0,0,95.2074
38,2.6,1e+09,15000,1000000,1,0.390397,2.37987e-07,0.000487839,0,0,0,96.4943
39,4.47,1e+09,15000,1000000,1,0.396329,2.39252e-07,0.000489134,0,0,0,97.8139
40,6.49,1e+09,15000,1000000,1,0.402139,2.40423e-07,0.00049033,0,0,0,97.8452
41,8.4,1e+09,15000,1000000,1,0.407093,2.41368e-07,0.000491292,0,0,0,98.846
42,10.2,1e+09,15000,1000000,1,0.413696,2.42552e-07,0.000492495,0,0,0,99.5417
43,11.5,1e+09,15000,1000000,1,0.418575,2.4337e-07,0.000493325,0,0,0,100.454
44,12.2,1e+09,15000,1000000,1,0.423284,2.44115e-07,0.00049408,0,0,0,101.333
45,12.4,1e+09,15000,1000000,1,0.427783,2.44785e-07,0.000494757,0,0,0,102.273
46,12,1e+09,15000,1000000,1,0.433038,2.45516e-07,0.000495496,0,0,0,103.024
47,10.5,1e+09,15000,1000000,1,0.439101,2.46291e-07,0.000496277,0,0,0,103.68
48,8.65,1e+09,15000,1000000,1,0.442386,2.46681e-07,0.00049667,0,0,0,104.651
49,7.31,1e+09,15000,1000000,1,0.447691,2.47264e-07,0.000497256,0,0,0,105.339
50,7.3,1e+09,15000,1000000,1,0.452886,2.4778e-07,0.000497775,0,0,0,105.994
51,6.62,1e+09,15000,1000000,1,0.456788,2.48133e-07,0.000498129,0,0,0,106.804
52,6.24,1e+09,15000,1000000,1,0.460633,2.4845e-07,0.000498448,0,0,0,107.665
53,4.94,1e+09,15000,1000000,1,0.464473,2.48738e-07,0.000498736,0,0,0,108.469
54,3.06,1e+09,15000,1000000,1,0.469815,2.49089e-07,0.000499088,0,0,0,108.943
55,1.9,1e+09,15000,1000000,1,0.473313,2.49288e-07,0.000499287,0,0,0,109.791
56,3.5,1e+09,15000,1000000,1,0.476612,2.49453e-07,0.000499453,0,0,0,110.599
57,6.17,1e+09,15000,1000000,1,0.480948,2.49637e-07,0.000499637,0,0,0,111.196
58,6.67,1e+09,15000,1000000,1,0.48469,2.49766e-07,0.000499766,0,0,0,111.9
59,6.77,1e+09,15000,1000000,1,0.489449,2.49889e-07,0.000499889,0,0,0,112.43
60,7,1e+09,15000,1000000,1,0.492702,2.49947e-07,0.000499947,0,0,0,113.305
61,7.26,1e+09,15000,1000000,1,0.496254,2.49986e-07,0.000499986,0,0,0,113.886
62,7.54,1e+09,15000,1000000,1,0.499487,2.5e-07,0.0005,0,0,0,114.6
63,5.26,1e+09,15000,1000000,1,0.502955,2.49991e-07,0.000499991,0,0,0,115.256
64,7.89,1e+09,15000,1000000,1,0.506131,2.49962e-07,0.000499962,0,0,0,115.965
65,8.27,1e+09,15000,1000000,1,0.509167,2.49916e-07,0.000499916,0,0,0,116.614
66,8.54,1e+09,15000,1000000,1,0.51273,2.49838e-07,0.000499838,0,0,0,117.214
67,8.8,1e+09,15000,1000000,1,0.515923,2.49746e-07,0.000499746,0,0,0,117.786
68,9.05,1e+09,15000,1000000,1,0.519027,2.49638e-07,0.000499638,0,0,0,118.49
69,9.33,1e+09,15000,1000000,1,0.522426,2.49497e-07,0.000499497,0,0,0,118.992
70,6.98,1e+09,15000,1000000,1,0.525121,2.49369e-07,0.000499369,0,0,0,119.709
71,9.84,1e+09,15000,1000000,1,0.52825,2.49202e-07,0.000499201,0,0,0,120.303
72,13.1,1e+09,15000,1000000,1,0.530833,2.49049e-07,0.000499048,0,0,0,120.99
73,16.6,1e+09,15000,1000000,1,0.533668,2.48866e-07,0.000498865,0,0,0,121.56
74,19.3,1e+09,15000,1000000,1,0.537308,2.48608e-07,0.000498606,0,0,0,121.989
75,21,1e+09,15000,1000000,1,0.540583,2.48353e-07,0.00049835,0,0,0,122.493
76,22.6,1e+09,15000,1000000,1,0.542339,2.48207e-07,0.000498204,0,0,0,123.763
77,22.5,1e+09,15000,1000000,1,0.546298,2.47856e-07,0.000497852,0,0,0,125.937
78,21.4,1e+09,15000,1000000,1,0.547752,2.4772e-07,0.000497715,0,0,0,125.503
79,19.3,1e+09,15000,1000000,1,0.550816,2.47418e-07,0.000497411,0,0,0,124.878
80,13.6,1e+09,15000,1000000,1,0.553157,2.47174e-07,0.000497166,0,0,0,125.502
81,11.85,1e+09,15000,1000000,1,0.554729,2.47005e-07,0.000496996,0,0,0,126.259
82,11.4,1e+09,15000,1000000,1,0.558339,2.46597e-07,0.000496585,0,0,0,126.566
83,9.8,1e+09,15000,1000000,1,0.560856,2.46297e-07,0.000496283,0,0,0,127.158
84,9.2,1e+09,15000,1000000,1,0.563588,2.45957e-07,0.00049594,0,0,0,127.587
85,7,1e+09,15000,1000000,1,0.56545,2.45716e-07,0.000495698,0,0,0,128.433
86,9.91,1e+09,15000,1000000,1,0.568142,2.45357e-07,0.000495335,0,0,0,128.794
87,2.44,1e+09,15000,1000000,1,0.570644,2.45009e-07,0.000494984,0,0,0,129.309
88,5,1e+09,15000,1000000,1,0.572511,2.44742e-07,0.000494714,0,0,0,129.984
89,10.07,1e+09,15000,1000000,1,0.573799,2.44554e-07,0.000494524,0,0,0,130.651
90,11.7,1e+09,15000,1000000,1,0.577195,2.44041e-07,0.000494005,0,0,0,131.008
91,15.4,1e+09,15000,1000000,1,0.578625,2.43818e-07,0.000493779,0,0,0,131.608
92,18.9,1e+09,15000,1000000,1,0.580758,2.43478e-07,0.000493435,0,0,0,132.144
93,20.4,1e+09,15000,1000000,1,0.583745,2.42987e-07,0.000492937,0,0,0,132.388
94,19.8,1e+09,15000,1000000,1,0.585953,2.42612e-07,0.000492557,0,0,0,132.909
95,13.6,1e+09,15000,1000000,1,0.587208,2.42395e-07,0.000492336,0,0,0,133.676
96,13.511,1e+09,15000,1000000,1,0.588868,2.42102e-07,0.000492039,0,0,0,134.286
