atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,0.5,1e+09,15000,1000000,1,0.329143,2.20808e-07,0.000469902,0,0,0,86.9521
29,0.5,1e+09,15000,1000000,2,0.329679,2.20991e-07,0.000470097,0,0,0,86.9298
29,0.5,1e+09,15000,1000000,3,0.328398,2.20553e-07,0.00046963,0,0,0,87.0314
29,0.5,1e+09,15000,1000000,4,0.329304,2.20863e-07,0.000469961,0,0,0,86.9406
29,0.5,1e+09,15000,1000000,5,0.32874,2.2067e-07,0.000469755,0,0,0,86.9377
29,0.5,1e+09,15000,1000000,6,0.329274,2.20853e-07,0.00046995,0,0,0,86.8701
29,0.5,1e+09,15000,1000000,7,0.329264,2.20849e-07,0.000469946,0,0,0,86.9429
29,0.5,1e+09,15000,1000000,8,0.329245,2.20843e-07,0.000469939,0,0,0,86.9256
29,0.5,1e+09,15000,1000000,9,0.328326,2.20528e-07,0.000469604,0,0,0,86.9901
29,0.5,1e+09,15000,1000000,10,0.328554,2.20606e-07,0.000469687,0,0,0,87.005
29,1,1e+09,15000,1000000,1,0.328645,2.20637e-07,0.000469721,0,0,0,87.0197
29,1,1e+09,15000,1000000,2,0.328436,2.20566e-07,0.000469644,0,0,0,87.2499
29,1,1e+09,15000,1000000,3,0.32821,2.20488e-07,0.000469562,0,0,0,87.082
29,1,1e+09,15000,1000000,4,0.328381,2.20547e-07,0.000469624,0,0,0,87.083
29,1,1e+09,15000,1000000,5,0.329117,2.20799e-07,0.000469893,0,0,0,87.149
29,1,1e+09,15000,1000000,6,0.329077,2.20785e-07,0.000469878,0,0,0,87.1021
29,1,1e+09,15000,1000000,7,0.328787,2.20686e-07,0.000469772,0,0,0,87.1156
29,1,1e+09,15000,1000000,8,0.328454,2.20572e-07,0.000469651,0,0,0,87.1663
29,1,1e+09,15000,1000000,9,0.329013,2.20763e-07,0.000469855,0,0,0,87.0077
29,1,1e+09,15000,1000000,10,0.329547,2.20946e-07,0.000470049,0,0,0,86.9424
29,2,1e+09,15000,1000000,1,0.32932,2.20868e-07,0.000469966,0,0,0,86.9249
29,2,1e+09,15000,1000000,2,0.329248,2.20844e-07,0.00046994,0,0,0,86.961
29,2,1e+09,15000,1000000,3,0.330093,2.21132e-07,0.000470246,0,0,0,86.8886
29,2,1e+09,15000,1000000,4,0.329472,2.2092e-07,0.000470021,0,0,0,86.9315
29,2,1e+09,15000,1000000,5,0.329906,2.21068e-07,0.000470179,0,0,0,86.9263
29,2,1e+09,15000,1000000,6,0.32857,2.20612e-07,0.000469693,0,0,0,87.0162
29,2,1e+09,15000,1000000,7,0.329232,2.20838e-07,0.000469934,0,0,0,86.9436
29,2,1e+09,15000,1000000,8,0.328501,2.20588e-07,0.000469668,0,0,0,87.0327
29,2,1e+09,15000,1000000,9,0.328386,2.20549e-07,0.000469626,0,0,0,87.0572
29,2,1e+09,15000,1000000,10,0.328721,2.20664e-07,0.000469748,0,0,0,87.0167
29,3,1e+09,15000,1000000,1,0.329324,2.2087e-07,0.000469968,0,0,0,86.9547
29,3,1e+09,15000,1000000,2,0.329091,2.2079e-07,0.000469883,0,0,0,86.9623
29,3,1e+09,15000,1000000,3,0.329065,2.20781e-07,0.000469874,0,0,0,86.9686
29,3,1e+09,15000,1000000,4,0.32831,2.20523e-07,0.000469598,0,0,0,87.029
29,3,1e+09,15000,1000000,5,0.329559,2.2095e-07,0.000470053,0,0,0,86.9145
29,3,1e+09,15000,1000000,6,0.329669,2.20987e-07,0.000470093,0,0,0,86.8998
29,3,1e+09,15000,1000000,7,0.329096,2.20792e-07,0.000469885,0,0,0,86.9487
29,3,1e+09,15000,1000000,8,0.328954,2.20743e-07,0.000469833,0,0,0,86.9879
29,3,1e+09,15000,1000000,9,0.328365,2.20541e-07,0.000469618,0,0,0,87.0326
29,3,1e+09,15000,1000000,10,0.328432,2.20564e-07,0.000469643,0,0,0,87.0175
29,4,1e+09,15000,1000000,1,0.329436,2.20908e-07,0.000470008,0,0,0,86.9365
29,4,1e+09,15000,1000000,2,0.328977,2.20751e-07,0.000469842,0,0,0,86.998
29,4,1e+09,15000,1000000,3,0.329524,2.20938e-07,0.00047004,0,0,0,86.9291
29,4,1e+09,15000,1000000,4,0.328831,2.20701e-07,0.000469788,0,0,0,87.0148
29,4,1e+09,15000,1000000,5,0.328722,2.20664e-07,0.000469749,0,0,0,86.9856
29,4,1e+09,15000,1000000,6,0.329219,2.20834e-07,0.00046993,0,0,0,86.9308
29,4,1e+09,15000,1000000,7,0.329305,2.20863e-07,0.000469961,0,0,0,86.9317
29,4,1e+09,15000,1000000,8,0.328775,2.20682e-07,0.000469768,0,0,0,86.9568
29,4,1e+09,15000,1000000,9,0.328268,2.20508e-07,0.000469583,0,0,0,87.0413
29,4,1e+09,15000,1000000,10,0.329317,2.20867e-07,0.000469965,0,0,0,86.9578
29,5,1e+09,15000,1000000,1,0.329046,2.20775e-07,0.000469867,0,0,0,86.9686
29,5,1e+09,15000,1000000,2,0.328826,2.20699e-07,0.000469787,0,0,0,86.9934
29,5,1e+09,15000,1000000,3,0.328775,2.20682e-07,0.000469768,0,0,0,86.9958
29,5,1e+09,15000,1000000,4,0.32885,2.20708e-07,0.000469795,0,0,0,86.9781
29,5,1e+09,15000,1000000,5,0.32956,2.2095e-07,0.000470053,0,0,0,86.926
29,5,1e+09,15000,1000000,6,0.328424,2.20562e-07,0.00046964,0,0,0,87.0233
29,5,1e+09,15000,1000000,7,0.329092,2.2079e-07,0.000469883,0,0,0,86.9843
29,5,1e+09,15000,1000000,8,0.3295,2.2093e-07,0.000470032,0,0,0,86.877
29,5,1e+09,15000,1000000,9,0.328842,2.20705e-07,0.000469792,0,0,0,86.9796
29,5,1e+09,15000,1000000,10,0.328757,2.20676e-07,0.000469761,0,0,0,86.9794
29,6,1e+09,15000,1000000,1,0.32838,2.20547e-07,0.000469624,0,0,0,87.0361
29,6,1e+09,15000,1000000,2,0.330095,2.21132e-07,0.000470247,0,0,0,86.8799
29,6,1e+09,15000,1000000,3,0.329357,2.20881e-07,0.00046998,0,0,0,86.9224
29,6,1e+09,15000,1000000,4,0.327986,2.20411e-07,0.00046948,0,0,0,87.0402
