atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,1e+09,1000,1000000,1,0.098557,8.88435e-08,0.000298066,0,0,0,6.58453
6,2.62,1e+09,2000,1000000,1,0.083096,7.61911e-08,0.000276027,0,0,0,10.7233
6,2.62,1e+09,3000,1000000,1,0.076371,7.05385e-08,0.000265591,0,0,0,14.2558
6,2.62,1e+09,4000,1000000,1,0.072208,6.6994e-08,0.000258832,0,0,0,17.614
6,2.62,1e+09,5000,1000000,1,0.069173,6.43881e-08,0.000253748,0,0,0,20.6082
6,2.62,1e+09,10000,1000000,1,0.061767,5.79518e-08,0.000240732,0,0,0,34.0686
6,2.62,1e+09,15000,1000000,1,0.059345,5.58232e-08,0.000236269,0,0,0,46.2869
6,2.62,1e+09,20000,1000000,1,0.057616,5.42964e-08,0.000233016,0,0,0,57.8991
6,2.62,1e+09,25000,1000000,1,0.056432,5.32474e-08,0.000230754,0,0,0,68.944
6,2.62,1e+09,30000,1000000,1,0.055711,5.26073e-08,0.000229363,0,0,0,79.7724
6,2.62,1e+09,40000,1000000,1,0.055713,5.26091e-08,0.000229367,0,0,0,100.84
6,2.62,1e+09,50000,1000000,1,0.055292,5.22348e-08,0.000228549,0,0,0,121.38
6,2.62,1e+09,60000,1000000,1,0.056085,5.29395e-08,0.000230086,0,0,0,141.527
13,2.7,1e+09,1000,1000000,1,0.224692,1.74206e-07,0.000417379,0,0,0,9.7619
13,2.7,1e+09,2000,1000000,1,0.200101,1.60061e-07,0.000400076,0,0,0,15.5896
13,2.7,1e+09,3000,1000000,1,0.189604,1.53654e-07,0.000391988,0,0,0,20.5055
13,2.7,1e+09,4000,1000000,1,0.182831,1.49404e-07,0.000386528,0,0,0,24.9513
13,2.7,1e+09,5000,1000000,1,0.178292,1.46504e-07,0.000382758,0,0,0,29.1108
13,2.7,1e+09,10000,1000000,1,0.167156,1.39215e-07,0.000373115,0,0,0,47.3849
13,2.7,1e+09,15000,1000000,1,0.161527,1.35436e-07,0.000368016,0,0,0,63.6962
13,2.7,1e+09,20000,1000000,1,0.159844,1.34294e-07,0.000366461,0,0,0,78.9592
13,2.7,1e+09,25000,1000000,1,0.158671,1.33495e-07,0.000365369,0,0,0,93.5686
13,2.7,1e+09,30000,1000000,1,0.158425,1.33327e-07,0.000365139,0,0,0,107.752
13,2.7,1e+09,40000,1000000,1,0.157606,1.32766e-07,0.000364371,0,0,0,135.222
13,2.7,1e+09,50000,1000000,1,0.158401,1.3331e-07,0.000365117,0,0,0,161.846
13,2.7,1e+09,60000,1000000,1,0.160777,1.34928e-07,0.000367325,0,0,0,187.705
14,2.33,1e+09,1000,1000000,1,0.240238,1.82524e-07,0.000427228,0,0,0,10.154
14,2.33,1e+09,2000,1000000,1,0.214997,1.68773e-07,0.00041082,0,0,0,16.1321
14,2.33,1e+09,3000,1000000,1,0.20395,1.62354e-07,0.000402932,0,0,0,21.2123
14,2.33,1e+09,4000,1000000,1,0.196931,1.58149e-07,0.00039768,0,0,0,25.8222
14,2.33,1e+09,5000,1000000,1,0.192244,1.55286e-07,0.000394064,0,0,0,30.0695
14,2.33,1e+09,10000,1000000,1,0.180402,1.47857e-07,0.000384522,0,0,0,48.8827
14,2.33,1e+09,15000,1000000,1,0.176665,1.45454e-07,0.000381385,0,0,0,65.5828
14,2.33,1e+09,20000,1000000,1,0.172831,1.4296e-07,0.000378101,0,0,0,81.362
14,2.33,1e+09,25000,1000000,1,0.172103,1.42484e-07,0.00037747,0,0,0,96.3096
14,2.33,1e+09,30000,1000000,1,0.171618,1.42165e-07,0.000377048,0,0,0,110.733
14,2.33,1e+09,40000,1000000,1,0.171668,1.42198e-07,0.000377092,0,0,0,138.909
14,2.33,1e+09,50000,1000000,1,0.171344,1.41985e-07,0.000376809,0,0,0,166.105
