atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,8.96,1e+09,10000,10,1,0.3,0.021,0.144914,0,0,0,0.000827579
29,8.96,1e+09,10000,10,2,0.3,0.021,0.144914,0,0,0,0.000733727
29,8.96,1e+09,10000,10,3,0.5,0.025,0.158114,0,0,0,0.000549506
29,8.96,1e+09,10000,10,4,0.3,0.021,0.144914,0,0,0,0.000719297
29,8.96,1e+09,10000,10,5,0.1,0.009,0.0948683,0,0,0,0.000840516
29,8.96,1e+09,10000,10,6,0.2,0.016,0.126491,0,0,0,0.000742235
29,8.96,1e+09,10000,10,7,0.3,0.021,0.144914,0,0,0,0.000683588
29,8.96,1e+09,10000,10,8,0.4,0.024,0.154919,0,0,0,0.000762884
29,8.96,1e+09,10000,10,9,0.3,0.021,0.144914,0,0,0,0.000685748
29,8.96,1e+09,10000,10,10,0.1,0.009,0.0948683,0,0,0,0.000815073
29,8.96,1e+09,10000,100,1,0.3,0.0021,0.0458258,0,0,0,0.0072421
29,8.96,1e+09,10000,100,2,0.37,0.002331,0.0482804,0,0,0,0.00639246
29,8.96,1e+09,10000,100,3,0.38,0.002356,0.0485386,0,0,0,0.00623397
29,8.96,1e+09,10000,100,4,0.36,0.002304,0.048,0,0,0,0.0067316
29,8.96,1e+09,10000,100,5,0.37,0.002331,0.0482804,0,0,0,0.00632707
29,8.96,1e+09,10000,100,6,0.38,0.002356,0.0485386,0,0,0,0.00624628
29,8.96,1e+09,10000,100,7,0.26,0.001924,0.0438634,0,0,0,0.00692028
29,8.96,1e+09,10000,100,8,0.39,0.002379,0.048775,0,0,0,0.00633886
29,8.96,1e+09,10000,100,9,0.29,0.002059,0.0453762,0,0,0,0.00697039
29,8.96,1e+09,10000,100,10,0.46,0.002484,0.0498397,0,0,0,0.00568042
29,8.96,1e+09,10000,1000,1,0.353,0.000228391,0.0151126,0,0,0,0.0641894
29,8.96,1e+09,10000,1000,2,0.311,0.000214279,0.0146383,0,0,0,0.0673716
29,8.96,1e+09,10000,1000,3,0.356,0.000229264,0.0151415,0,0,0,0.0647667
29,8.96,1e+09,10000,1000,4,0.323,0.000218671,0.0147875,0,0,0,0.0662246
29,8.96,1e+09,10000,1000,5,0.332,0.000221776,0.0148921,0,0,0,0.0659634
29,8.96,1e+09,10000,1000,6,0.345,0.000225975,0.0150325,0,0,0,0.0652888
29,8.96,1e+09,10000,1000,7,0.34,0.0002244,0.01498,0,0,0,0.0652469
29,8.96,1e+09,10000,1000,8,0.354,0.000228684,0.0151223,0,0,0,0.0642099
29,8.96,1e+09,10000,1000,9,0.343,0.000225351,0.0150117,0,0,0,0.0653512
29,8.96,1e+09,10000,1000,10,0.331,0.000221439,0.0148808,0,0,0,0.0662176
29,8.96,1e+09,10000,10000,1,0.3389,2.24047e-05,0.00473336,0,0,0,0.65723
29,8.96,1e+09,10000,10000,2,0.3296,2.20964e-05,0.00470068,0,0,0,0.662562
29,8.96,1e+09,10000,10000,3,0.3328,2.22044e-05,0.00471216,0,0,0,0.659246
29,8.96,1e+09,10000,10000,4,0.3343,2.22544e-05,0.00471745,0,0,0,0.659006
29,8.96,1e+09,10000,10000,5,0.3348,2.22709e-05,0.00471921,0,0,0,0.713801
29,8.96,1e+09,10000,10000,6,0.3353,2.22874e-05,0.00472095,0,0,0,0.67388
29,8.96,1e+09,10000,10000,7,0.3337,2.22344e-05,0.00471534,0,0,0,0.677992
29,8.96,1e+09,10000,10000,8,0.3335,2.22278e-05,0.00471463,0,0,0,0.661803
29,8.96,1e+09,10000,10000,9,0.3364,2.23235e-05,0.00472478,0,0,0,0.659357
29,8.96,1e+09,10000,10000,10,0.3363,2.23202e-05,0.00472443,0,0,0,0.659778
29,8.96,1e+09,10000,100000,1,0.33509,2.22805e-06,0.00149266,0,0,0,6.68921
29,8.96,1e+09,10000,100000,2,0.33641,2.23238e-06,0.00149412,0,0,0,6.67603
29,8.96,1e+09,10000,100000,3,0.33367,2.22334e-06,0.00149109,0,0,0,6.61387
29,8.96,1e+09,10000,100000,4,0.33417,2.225e-06,0.00149164,0,0,0,6.60872
29,8.96,1e+09,10000,100000,5,0.33494,2.22755e-06,0.0014925,0,0,0,6.60018
29,8.96,1e+09,10000,100000,6,0.3351,2.22808e-06,0.00149268,0,0,0,6.60007
29,8.96,1e+09,10000,100000,7,0.33491,2.22745e-06,0.00149247,0,0,0,6.60359
29,8.96,1e+09,10000,100000,8,0.336,2.23104e-06,0.00149367,0,0,0,6.5832
29,8.96,1e+09,10000,100000,9,0.33484,2.22722e-06,0.00149239,0,0,0,6.5932
29,8.96,1e+09,10000,100000,10,0.33404,2.22457e-06,0.0014915,0,0,0,6.61965
29,8.96,1e+09,10000,1000000,1,0.335249,2.22857e-07,0.000472077,0,0,0,65.8278
29,8.96,1e+09,10000,1000000,2,0.335831,2.23049e-07,0.00047228,0,0,0,65.8435
29,8.96,1e+09,10000,1000000,3,0.335471,2.2293e-07,0.000472155,0,0,0,65.8615
29,8.96,1e+09,10000,1000000,4,0.334853,2.22726e-07,0.000471939,0,0,0,65.8918
29,8.96,1e+09,10000,1000000,5,0.335017,2.22781e-07,0.000471996,0,0,0,65.8206
29,8.96,1e+09,10000,1000000,6,0.334865,2.2273e-07,0.000471943,0,0,0,65.8393
29,8.96,1e+09,10000,1000000,7,0.334884,2.22737e-07,0.00047195,0,0,0,65.8351
29,8.96,1e+09,10000,1000000,8,0.335269,2.22864e-07,0.000472084,0,0,0,65.809
29,8.96,1e+09,10000,1000000,9,0.335267,2.22863e-07,0.000472084,0,0,0,65.78
29,8.96,1e+09,10000,1000000,10,0.335205,2.22843e-07,0.000472062,0,0,0,65.8338
