atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
1,0.071,1e+09,15000,1000000,1,0.004899,4.875e-09,6.98212e-05,0,0,0,33.1179
2,0.126,1e+09,15000,1000000,1,0.011956,1.18131e-08,0.000108688,0,0,0,45.069
3,0.53,1e+09,15000,1000000,1,0.021144,2.06969e-08,0.000143864,0,0,0,52.5317
4,1.85,1e+09,15000,1000000,1,0.032255,3.12146e-08,0.000176677,0,0,0,58.432
5,2.34,1e+09,15000,1000000,1,0.045345,4.32888e-08,0.00020806,0,0,0,63.9099
6,2.26,1e+09,15000,1000000,1,0.058862,5.53973e-08,0.000235366,0,0,0,68.9031
7,0.81,1e+09,15000,1000000,1,0.073974,6.85018e-08,0.000261729,0,0,0,73.321
8,1.14,1e+09,15000,1000000,1,0.089336,8.13551e-08,0.000285228,0,0,0,77.2472
9,1.505,1e+09,15000,1000000,1,0.103827,9.3047e-08,0.000305036,0,0,0,81.7391
10,1.2,1e+09,15000,1000000,1,0.11946,1.05189e-07,0.000324329,0,0,0,84.7609
11,0.97,1e+09,15000,1000000,1,0.134065,1.16092e-07,0.000340722,0,0,0,89.1005
12,1.74,1e+09,15000,1000000,1,0.148169,1.26215e-07,0.000355267,0,0,0,91.5156
13,2.7,1e+09,15000,1000000,1,0.161543,1.35447e-07,0.000368031,0,0,0,94.3122
14,2.33,1e+09,15000,1000000,1,0.175245,1.44534e-07,0.000380177,0,0,0,96.2203
15,1.82,1e+09,15000,1000000,1,0.188865,1.53195e-07,0.000391401,0,0,0,98.5861
16,2.07,1e+09,15000,1000000,1,0.200794,1.60476e-07,0.000400594,0,0,0,102.507
17,1.56,1e+09,15000,1000000,1,0.21252,1.67355e-07,0.000409091,0,0,0,104.586
18,1.4,1e+09,15000,1000000,1,0.223765,1.73694e-07,0.000416766,0,0,0,106.189
19,0.86,1e+09,15000,1000000,1,0.235809,1.80203e-07,0.000424503,0,0,0,108.396
20,1.55,1e+09,15000,1000000,1,0.246656,1.85817e-07,0.000431065,0,0,0,111.009
21,3,1e+09,15000,1000000,1,0.257511,1.91199e-07,0.000437263,0,0,0,113.279
22,4.51,1e+09,15000,1000000,1,0.267933,1.96145e-07,0.000442882,0,0,0,115.354
23,6.1,1e+09,15000,1000000,1,0.277766,2.00612e-07,0.000447897,0,0,0,117.956
24,7.19,1e+09,15000,1000000,1,0.286132,2.0426e-07,0.000451952,0,0,0,122.509
25,7.43,1e+09,15000,1000000,1,0.29583,2.08315e-07,0.000456415,0,0,0,119.718
26,7.86,1e+09,15000,1000000,1,0.30426,2.11686e-07,0.000460093,0,0,0,122.349
27,8.9,1e+09,15000,1000000,1,0.312218,2.14738e-07,0.000463398,0,0,0,124.872
28,8.9,1e+09,15000,1000000,1,0.321712,2.18213e-07,0.000467133,0,0,0,125.786
29,8.96,1e+09,15000,1000000,1,0.328438,2.20566e-07,0.000469645,0,0,0,127.749
30,7.14,1e+09,15000,1000000,1,0.336006,2.23106e-07,0.000472341,0,0,0,129.719
31,5.91,1e+09,15000,1000000,1,0.344004,2.25665e-07,0.000475042,0,0,0,130.409
32,5.32,1e+09,15000,1000000,1,0.350499,2.27649e-07,0.000477126,0,0,0,131.49
33,5.72,1e+09,15000,1000000,1,0.357741,2.29762e-07,0.000479335,0,0,0,135.951
34,4.79,1e+09,15000,1000000,1,0.365646,2.31949e-07,0.000481611,0,0,0,134.143
35,3.12,1e+09,15000,1000000,1,0.371855,2.33579e-07,0.0004833,0,0,0,136.559
36,2.6,1e+09,15000,1000000,1,0.377582,2.35014e-07,0.000484782,0,0,0,141.332
37,1.53,1e+09,15000,1000000,1,0.38406,2.36558e-07,0.000486372,0,0,0,141.392
38,2.6,1e+09,15000,1000000,1,0.39098,2.38115e-07,0.00048797,0,0,0,141.525
39,4.47,1e+09,15000,1000000,1,0.395716,2.39125e-07,0.000489004,0,0,0,137.962
40,6.49,1e+09,15000,1000000,1,0.401654,2.40328e-07,0.000490233,0,0,0,142.335
41,8.4,1e+09,15000,1000000,1,0.407912,2.4152e-07,0.000491447,0,0,0,145.27
42,10.2,1e+09,15000,1000000,1,0.413754,2.42562e-07,0.000492505,0,0,0,110.153
