atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,0.5,1e+09,15000,1000000,1,0.329146,2.20809e-07,0.000469903,0,0,0,130.866
29,0.5,1e+09,15000,1000000,2,0.328445,2.20569e-07,0.000469648,0,0,0,127.28
29,0.5,1e+09,15000,1000000,3,0.328494,2.20586e-07,0.000469666,0,0,0,127.57
29,0.5,1e+09,15000,1000000,4,0.328755,2.20675e-07,0.000469761,0,0,0,127.237
29,0.5,1e+09,15000,1000000,5,0.328537,2.206e-07,0.000469681,0,0,0,128.501
29,0.5,1e+09,15000,1000000,6,0.329135,2.20805e-07,0.000469899,0,0,0,128.294
29,0.5,1e+09,15000,1000000,7,0.328816,2.20696e-07,0.000469783,0,0,0,127.927
29,0.5,1e+09,15000,1000000,8,0.32875,2.20673e-07,0.000469759,0,0,0,127.47
29,0.5,1e+09,15000,1000000,9,0.328817,2.20696e-07,0.000469783,0,0,0,127.631
29,0.5,1e+09,15000,1000000,10,0.328933,2.20736e-07,0.000469826,0,0,0,127.269
29,1,1e+09,15000,1000000,1,0.328881,2.20718e-07,0.000469807,0,0,0,126.693
29,1,1e+09,15000,1000000,2,0.328718,2.20662e-07,0.000469747,0,0,0,128.291
29,1,1e+09,15000,1000000,3,0.328608,2.20625e-07,0.000469707,0,0,0,127.653
29,1,1e+09,15000,1000000,4,0.328627,2.20631e-07,0.000469714,0,0,0,127.081
29,1,1e+09,15000,1000000,5,0.328794,2.20689e-07,0.000469775,0,0,0,128.128
29,1,1e+09,15000,1000000,6,0.328674,2.20647e-07,0.000469731,0,0,0,128.381
29,1,1e+09,15000,1000000,7,0.329017,2.20765e-07,0.000469856,0,0,0,127.963
29,1,1e+09,15000,1000000,8,0.328907,2.20727e-07,0.000469816,0,0,0,126.679
29,1,1e+09,15000,1000000,9,0.329175,2.20819e-07,0.000469914,0,0,0,128.329
29,1,1e+09,15000,1000000,10,0.329182,2.20821e-07,0.000469916,0,0,0,126.856
29,2,1e+09,15000,1000000,1,0.328597,2.20621e-07,0.000469703,0,0,0,127.299
29,2,1e+09,15000,1000000,2,0.328387,2.20549e-07,0.000469626,0,0,0,128.221
29,2,1e+09,15000,1000000,3,0.330037,2.21113e-07,0.000470226,0,0,0,126.694
29,2,1e+09,15000,1000000,4,0.328972,2.20749e-07,0.00046984,0,0,0,128.087
29,2,1e+09,15000,1000000,5,0.32947,2.2092e-07,0.000470021,0,0,0,127.258
29,2,1e+09,15000,1000000,6,0.328557,2.20607e-07,0.000469689,0,0,0,127.905
29,2,1e+09,15000,1000000,7,0.328277,2.20511e-07,0.000469586,0,0,0,127.673
