atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,1e+09,1000,1000000,1,0.099366,8.94924e-08,0.000299153,0,0,0,9.67829
6,2.62,1e+09,2000,1000000,1,0.083708,7.6701e-08,0.000276949,0,0,0,15.6419
6,2.62,1e+09,3000,1000000,1,0.075968,7.01969e-08,0.000264947,0,0,0,20.8283
6,2.62,1e+09,4000,1000000,1,0.072254,6.70334e-08,0.000258908,0,0,0,25.926
6,2.62,1e+09,5000,1000000,1,0.069265,6.44674e-08,0.000253904,0,0,0,30.1936
6,2.62,1e+09,10000,1000000,1,0.062142,5.82804e-08,0.000241413,0,0,0,50.0623
6,2.62,1e+09,15000,1000000,1,0.058863,5.53981e-08,0.000235368,0,0,0,67.9581
6,2.62,1e+09,20000,1000000,1,0.057534,5.42238e-08,0.00023286,0,0,0,85.5535
6,2.62,1e+09,25000,1000000,1,0.056135,5.29839e-08,0.000230182,0,0,0,102.723
6,2.62,1e+09,30000,1000000,1,0.05613,5.29794e-08,0.000230173,0,0,0,119.015
6,2.62,1e+09,40000,1000000,1,0.055689,5.25877e-08,0.00022932,0,0,0,150.215
6,2.62,1e+09,50000,1000000,1,0.055602,5.25104e-08,0.000229152,0,0,0,179.532
6,2.62,1e+09,60000,1000000,1,0.05542,5.23486e-08,0.000228798,0,0,0,209.94
13,2.7,1e+09,1000,1000000,1,0.224053,1.73853e-07,0.000416957,0,0,0,14.5396
13,2.7,1e+09,2000,1000000,1,0.200322,1.60193e-07,0.000400241,0,0,0,22.9823
13,2.7,1e+09,3000,1000000,1,0.189074,1.53325e-07,0.000391567,0,0,0,29.5382
13,2.7,1e+09,4000,1000000,1,0.182555,1.49229e-07,0.000386301,0,0,0,36.4436
13,2.7,1e+09,5000,1000000,1,0.177505,1.45997e-07,0.000382096,0,0,0,42.5766
13,2.7,1e+09,10000,1000000,1,0.166616,1.38855e-07,0.000372633,0,0,0,69.0608
13,2.7,1e+09,15000,1000000,1,0.162209,1.35897e-07,0.000368642,0,0,0,93.3579
13,2.7,1e+09,20000,1000000,1,0.159934,1.34355e-07,0.000366545,0,0,0,116.079
13,2.7,1e+09,25000,1000000,1,0.157881,1.32955e-07,0.000364629,0,0,0,129.35
13,2.7,1e+09,30000,1000000,1,0.1577,1.32831e-07,0.000364459,0,0,0,158.577
13,2.7,1e+09,40000,1000000,1,0.157853,1.32935e-07,0.000364603,0,0,0,198.545
13,2.7,1e+09,50000,1000000,1,0.158697,1.33512e-07,0.000365393,0,0,0,237.618
13,2.7,1e+09,60000,1000000,1,0.16079,1.34937e-07,0.000367337,0,0,0,253.215
14,2.33,1e+09,1000,1000000,1,0.240756,1.82793e-07,0.000427542,0,0,0,14.7572
14,2.33,1e+09,2000,1000000,1,0.215946,1.69313e-07,0.000411477,0,0,0,23.8006
14,2.33,1e+09,3000,1000000,1,0.203777,1.62252e-07,0.000402805,0,0,0,31.2443
14,2.33,1e+09,4000,1000000,1,0.196911,1.58137e-07,0.000397665,0,0,0,38.0346
14,2.33,1e+09,5000,1000000,1,0.192728,1.55584e-07,0.000394441,0,0,0,43.9767
14,2.33,1e+09,10000,1000000,1,0.180539,1.47945e-07,0.000384636,0,0,0,71.8706
14,2.33,1e+09,15000,1000000,1,0.17531,1.44576e-07,0.000380232,0,0,0,95.9795
14,2.33,1e+09,20000,1000000,1,0.17284,1.42966e-07,0.000378109,0,0,0,120.203
14,2.33,1e+09,25000,1000000,1,0.171198,1.41889e-07,0.000376682,0,0,0,142.029
14,2.33,1e+09,30000,1000000,1,0.172001,1.42417e-07,0.000377381,0,0,0,160.662
14,2.33,1e+09,40000,1000000,1,0.171057,1.41797e-07,0.000376559,0,0,0,204.311
14,2.33,1e+09,50000,1000000,1,0.172348,1.42644e-07,0.000377683,0,0,0,210.082
14,2.33,1e+09,60000,1000000,1,0.173667,1.43507e-07,0.000378823,0,0,0,203.66
26,7.86,1e+09,1000,1000000,1,0.385324,2.36849e-07,0.000486672,0,0,0,20.6447
26,7.86,1e+09,2000,1000000,1,0.355394,2.29089e-07,0.000478633,0,0,0,31.954
26,7.86,1e+09,3000,1000000,1,0.340957,2.24705e-07,0.000474031,0,0,0,41.5034
26,7.86,1e+09,4000,1000000,1,0.330661,2.21324e-07,0.000470451,0,0,0,49.658
26,7.86,1e+09,5000,1000000,1,0.326113,2.19763e-07,0.000468789,0,0,0,58.0917
26,7.86,1e+09,10000,1000000,1,0.309936,2.13876e-07,0.000462467,0,0,0,92.3469
26,7.86,1e+09,15000,1000000,1,0.303474,2.11378e-07,0.000459758,0,0,0,122.372
26,7.86,1e+09,20000,1000000,1,0.301895,2.10754e-07,0.00045908,0,0,0,151.195
26,7.86,1e+09,25000,1000000,1,0.299161,2.09664e-07,0.00045789,0,0,0,176.445
26,7.86,1e+09,30000,1000000,1,0.299474,2.09789e-07,0.000458028,0,0,0,203.952
26,7.86,1e+09,40000,1000000,1,0.300001,2.1e-07,0.000458258,0,0,0,254.213
26,7.86,1e+09,50000,1000000,1,0.300229,2.10092e-07,0.000458357,0,0,0,299.718
26,7.86,1e+09,60000,1000000,1,0.301145,2.10457e-07,0.000458756,0,0,0,344.982
29,8.96,1e+09,1000,1000000,1,0.412527,2.42348e-07,0.000492289,0,0,0,21.3775
29,8.96,1e+09,2000,1000000,1,0.381642,2.35991e-07,0.000485789,0,0,0,33.3253
29,8.96,1e+09,3000,1000000,1,0.366488,2.32175e-07,0.000481845,0,0,0,43.4428
29,8.96,1e+09,4000,1000000,1,0.357781,2.29774e-07,0.000479347,0,0,0,52.4204
29,8.96,1e+09,5000,1000000,1,0.35089,2.27766e-07,0.000477249,0,0,0,60.7628
29,8.96,1e+09,10000,1000000,1,0.336232,2.2318e-07,0.000472419,0,0,0,95.8656
29,8.96,1e+09,15000,1000000,1,0.329194,2.20825e-07,0.000469921,0,0,0,126.029
29,8.96,1e+09,20000,1000000,1,0.325657,2.19605e-07,0.00046862,0,0,0,155.527
29,8.96,1e+09,25000,1000000,1,0.323711,2.18922e-07,0.000467891,0,0,0,183.23
29,8.96,1e+09,30000,1000000,1,0.323911,2.18993e-07,0.000467967,0,0,0,209.38
29,8.96,1e+09,40000,1000000,1,0.322716,2.1857e-07,0.000467515,0,0,0,264.864
29,8.96,1e+09,50000,1000000,1,0.323717,2.18924e-07,0.000467893,0,0,0,311.585
29,8.96,1e+09,60000,1000000,1,0.325812,2.19659e-07,0.000468677,0,0,0,335.057
47,10.5,1e+09,1000,1000000,1,0.531828,2.48987e-07,0.000498986,0,0,0,27.5344
47,10.5,1e+09,2000,1000000,1,0.499003,2.49999e-07,0.000499999,0,0,0,42.2935
47,10.5,1e+09,3000,1000000,1,0.480897,2.49635e-07,0.000499635,0,0,0,54.4203
47,10.5,1e+09,4000,1000000,1,0.470887,2.49152e-07,0.000499152,0,0,0,64.2874
47,10.5,1e+09,5000,1000000,1,0.463918,2.48698e-07,0.000498696,0,0,0,74.5252
47,10.5,1e+09,10000,1000000,1,0.44569,2.4705e-07,0.000497042,0,0,0,116.643
47,10.5,1e+09,15000,1000000,1,0.439314,2.46317e-07,0.000496304,0,0,0,151.172
47,10.5,1e+09,20000,1000000,1,0.434694,2.45735e-07,0.000495717,0,0,0,184.922
47,10.5,1e+09,25000,1000000,1,0.432133,2.45394e-07,0.000495373,0,0,0,215.771
47,10.5,1e+09,30000,1000000,1,0.432106,2.4539e-07,0.000495369,0,0,0,245.94
47,10.5,1e+09,40000,1000000,1,0.430588,2.45182e-07,0.000495159,0,0,0,303.21
47,10.5,1e+09,50000,1000000,1,0.43137,2.4529e-07,0.000495268,0,0,0,358.674
47,10.5,1e+09,60000,1000000,1,0.432467,2.45439e-07,0.000495418,0,0,0,410.425
79,19.3,1e+09,1000,1000000,1,0.648847,2.27845e-07,0.000477331,0,0,0,35.4913
79,19.3,1e+09,2000,1000000,1,0.614297,2.36936e-07,0.000486761,0,0,0,53.9798
79,19.3,1e+09,3000,1000000,1,0.598536,2.40291e-07,0.000490195,0,0,0,69.3251
79,19.3,1e+09,4000,1000000,1,0.586325,2.42548e-07,0.000492492,0,0,0,81.5463
79,19.3,1e+09,5000,1000000,1,0.57906,2.4375e-07,0.00049371,0,0,0,93.2386
79,19.3,1e+09,10000,1000000,1,0.559874,2.46415e-07,0.000496402,0,0,0,141.745
79,19.3,1e+09,15000,1000000,1,0.550387,2.47461e-07,0.000497455,0,0,0,182.931
79,19.3,1e+09,20000,1000000,1,0.545458,2.47934e-07,0.000497929,0,0,0,221.335
79,19.3,1e+09,25000,1000000,1,0.543356,2.4812e-07,0.000498117,0,0,0,255.878
79,19.3,1e+09,30000,1000000,1,0.541613,2.48268e-07,0.000498265,0,0,0,289.584
79,19.3,1e+09,40000,1000000,1,0.540151,2.48388e-07,0.000498385,0,0,0,350.889
79,19.3,1e+09,50000,1000000,1,0.539119,2.4847e-07,0.000498467,0,0,0,410.04
79,19.3,1e+09,60000,1000000,1,0.540619,2.4835e-07,0.000498347,0,0,0,443.81
