atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,8.96,1e+09,10000,10,1,0.4,0.024,0.154919,0,0,0,0.000644148
29,8.96,1e+09,10000,10,2,0.3,0.021,0.144914,0,0,0,0.000718056
29,8.96,1e+09,10000,10,3,0.1,0.009,0.0948683,0,0,0,0.00124816
29,8.96,1e+09,10000,10,4,0.3,0.021,0.144914,0,0,0,0.0010134
29,8.96,1e+09,10000,10,5,0.3,0.021,0.144914,0,0,0,0.00102196
29,8.96,1e+09,10000,10,6,0.3,0.021,0.144914,0,0,0,0.000962711
29,8.96,1e+09,10000,10,7,0,0,0,0,0,0,0.00132518
29,8.96,1e+09,10000,10,8,0.1,0.009,0.0948683,0,0,0,0.00125032
29,8.96,1e+09,10000,10,9,0.1,0.009,0.0948683,0,0,0,0.00121119
29,8.96,1e+09,10000,10,10,0.1,0.009,0.0948683,0,0,0,0.00120557
29,8.96,1e+09,10000,100,1,0.31,0.002139,0.0462493,0,0,0,0.00977912
29,8.96,1e+09,10000,100,2,0.33,0.002211,0.0470213,0,0,0,0.00948951
29,8.96,1e+09,10000,100,3,0.4,0.0024,0.0489898,0,0,0,0.0085115
29,8.96,1e+09,10000,100,4,0.33,0.002211,0.0470213,0,0,0,0.00933167
29,8.96,1e+09,10000,100,5,0.32,0.002176,0.0466476,0,0,0,0.00944018
29,8.96,1e+09,10000,100,6,0.3,0.0021,0.0458258,0,0,0,0.00973033
29,8.96,1e+09,10000,100,7,0.39,0.002379,0.048775,0,0,0,0.00885358
29,8.96,1e+09,10000,100,8,0.39,0.002379,0.048775,0,0,0,0.00877865
29,8.96,1e+09,10000,100,9,0.37,0.002331,0.0482804,0,0,0,0.00906072
29,8.96,1e+09,10000,100,10,0.3,0.0021,0.0458258,0,0,0,0.0094544
29,8.96,1e+09,10000,1000,1,0.321,0.000217959,0.0147634,0,0,0,0.0972481
29,8.96,1e+09,10000,1000,2,0.32,0.0002176,0.0147513,0,0,0,0.0981588
29,8.96,1e+09,10000,1000,3,0.337,0.000223431,0.0149476,0,0,0,0.0946927
29,8.96,1e+09,10000,1000,4,0.328,0.000220416,0.0148464,0,0,0,0.10255
29,8.96,1e+09,10000,1000,5,0.343,0.000225351,0.0150117,0,0,0,0.0971897
29,8.96,1e+09,10000,1000,6,0.352,0.000228096,0.0151028,0,0,0,0.0961914
29,8.96,1e+09,10000,1000,7,0.355,0.000228975,0.0151319,0,0,0,0.0949591
29,8.96,1e+09,10000,1000,8,0.384,0.000236544,0.01538,0,0,0,0.0896085
29,8.96,1e+09,10000,1000,9,0.324,0.000219024,0.0147995,0,0,0,0.0974284
29,8.96,1e+09,10000,1000,10,0.345,0.000225975,0.0150325,0,0,0,0.104531
29,8.96,1e+09,10000,10000,1,0.3405,2.2456e-05,0.00473877,0,0,0,0.974819
29,8.96,1e+09,10000,10000,2,0.3386,2.2395e-05,0.00473234,0,0,0,0.954816
29,8.96,1e+09,10000,10000,3,0.3343,2.22544e-05,0.00471745,0,0,0,0.955328
29,8.96,1e+09,10000,10000,4,0.332,2.21776e-05,0.00470931,0,0,0,0.972089
29,8.96,1e+09,10000,10000,5,0.3332,2.22178e-05,0.00471357,0,0,0,0.948033
29,8.96,1e+09,10000,10000,6,0.3333,2.22211e-05,0.00471393,0,0,0,0.971265
29,8.96,1e+09,10000,10000,7,0.3271,2.20106e-05,0.00469154,0,0,0,0.972105
29,8.96,1e+09,10000,10000,8,0.329,2.20759e-05,0.0046985,0,0,0,0.961431
29,8.96,1e+09,10000,10000,9,0.3341,2.22477e-05,0.00471675,0,0,0,1.17165
29,8.96,1e+09,10000,10000,10,0.3288,2.20691e-05,0.00469777,0,0,0,0.952606
29,8.96,1e+09,10000,100000,1,0.33249,2.2194e-06,0.00148977,0,0,0,9.70826
29,8.96,1e+09,10000,100000,2,0.3346,2.22643e-06,0.00149212,0,0,0,9.60688
29,8.96,1e+09,10000,100000,3,0.33614,2.2315e-06,0.00149382,0,0,0,9.61859
29,8.96,1e+09,10000,100000,4,0.33673,2.23343e-06,0.00149447,0,0,0,9.48717
29,8.96,1e+09,10000,100000,5,0.33607,2.23127e-06,0.00149374,0,0,0,9.53652
29,8.96,1e+09,10000,100000,6,0.33571,2.23009e-06,0.00149335,0,0,0,9.57904
29,8.96,1e+09,10000,100000,7,0.33701,2.23434e-06,0.00149477,0,0,0,9.61318
29,8.96,1e+09,10000,100000,8,0.33544,2.2292e-06,0.00149305,0,0,0,9.52234
29,8.96,1e+09,10000,100000,9,0.33417,2.225e-06,0.00149164,0,0,0,9.89669
29,8.96,1e+09,10000,100000,10,0.33676,2.23353e-06,0.0014945,0,0,0,9.57124
29,8.96,1e+09,10000,1000000,1,0.334913,2.22746e-07,0.00047196,0,0,0,91.4374
29,8.96,1e+09,10000,1000000,2,0.335619,2.22979e-07,0.000472206,0,0,0,94.2318
29,8.96,1e+09,10000,1000000,3,0.335358,2.22893e-07,0.000472115,0,0,0,97.4474
29,8.96,1e+09,10000,1000000,4,0.335465,2.22928e-07,0.000472153,0,0,0,71.3198
29,8.96,1e+09,10000,1000000,5,0.334994,2.22773e-07,0.000471988,0,0,0,95.4085
29,8.96,1e+09,10000,1000000,6,0.334743,2.2269e-07,0.000471901,0,0,0,95.8764
29,8.96,1e+09,10000,1000000,7,0.335326,2.22882e-07,0.000472104,0,0,0,96.3717
29,8.96,1e+09,10000,1000000,8,0.335082,2.22802e-07,0.000472019,0,0,0,71.595
29,8.96,1e+09,10000,1000000,9,0.335071,2.22798e-07,0.000472015,0,0,0,95.0677
29,8.96,1e+09,10000,1000000,10,0.335774,2.2303e-07,0.00047226,0,0,0,94.6109
