atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,5,15000,1000000,1,0.000193,1.92963e-10,1.38911e-05,0.999807,1.92963e-10,1.38911e-05,0.214388
6,2.62,10,15000,1000000,1,0.000403,4.02838e-10,2.00708e-05,0.999597,4.02838e-10,2.00708e-05,0.277739
6,2.62,20,15000,1000000,1,0.000773,7.72402e-10,2.77921e-05,0.999227,7.72402e-10,2.77921e-05,0.432955
6,2.62,30,15000,1000000,1,0.001138,1.1367e-09,3.37151e-05,0.998862,1.1367e-09,3.37151e-05,0.518728
6,2.62,40,15000,1000000,1,0.001609,1.60641e-09,4.00801e-05,0.998391,1.60641e-09,4.00801e-05,0.673045
6,2.62,50,15000,1000000,1,0.002001,1.997e-09,4.46878e-05,0.997999,1.997e-09,4.46878e-05,0.777151
6,2.62,100,15000,1000000,1,0.004289,4.2706e-09,6.53499e-05,0.995711,4.2706e-09,6.53499e-05,1.4834
6,2.62,150,15000,1000000,1,0.00711,7.05945e-09,8.40205e-05,0.992879,7.07029e-09,8.4085e-05,2.20686
6,2.62,200,15000,1000000,1,0.010374,1.02664e-08,0.000101323,0.989559,1.0332e-08,0.000101646,2.96522
6,2.62,250,15000,1000000,1,0.014156,1.39556e-08,0.000118134,0.9856,1.41926e-08,0.000119133,3.80817
6,2.62,500,15000,1000000,1,0.03772,3.62972e-08,0.000190518,0.951146,4.64673e-08,0.000215563,9.32094
6,2.62,750,15000,1000000,1,0.055588,5.2498e-08,0.000229124,0.878915,1.06423e-07,0.000326226,18.1201
6,2.62,1000,15000,1000000,1,0.059266,5.57535e-08,0.000236122,0.760019,1.8239e-07,0.000427072,29.4561
6,2.62,1250,15000,1000000,1,0.059378,5.58523e-08,0.000236331,0.595069,2.40962e-07,0.000490879,41.7744
6,2.62,1500,15000,1000000,1,0.058941,5.5467e-08,0.000235514,0.393801,2.38722e-07,0.000488592,53.9869
6,2.62,1750,15000,1000000,1,0.058949,5.5474e-08,0.000235529,0.181869,1.48793e-07,0.000385737,63.1178
6,2.62,2000,15000,1000000,1,0.059365,5.58408e-08,0.000236307,0.031552,3.05565e-08,0.000174804,68.2315
6,2.62,2250,15000,1000000,1,0.059101,5.56081e-08,0.000235814,3.2e-05,3.1999e-11,5.65676e-06,69.0498
6,2.62,2500,15000,1000000,1,0.059059,5.5571e-08,0.000235735,0,0,0,69.1327
6,2.62,3000,15000,1000000,1,0.058969,5.54917e-08,0.000235567,0,0,0,68.4883
6,2.62,4000,15000,1000000,1,0.059324,5.58047e-08,0.00023623,0,0,0,69.0158
6,2.62,5000,15000,1000000,1,0.059231,5.57227e-08,0.000236057,0,0,0,68.5684
13,2.7,5,15000,1000000,1,0.000449,4.48798e-10,2.11849e-05,0.999551,4.48798e-10,2.11849e-05,0.236674
13,2.7,10,15000,1000000,1,0.000769,7.68409e-10,2.77202e-05,0.999231,7.68409e-10,2.77202e-05,0.306402
13,2.7,20,15000,1000000,1,0.001638,1.63532e-09,4.04391e-05,0.998362,1.63532e-09,4.04391e-05,0.491605
13,2.7,30,15000,1000000,1,0.002628,2.62109e-09,5.11966e-05,0.997372,2.62109e-09,5.11966e-05,0.64279
13,2.7,40,15000,1000000,1,0.00356,3.54733e-09,5.95594e-05,0.99644,3.54733e-09,5.95594e-05,0.848842
13,2.7,50,15000,1000000,1,0.004447,4.42722e-09,6.65374e-05,0.995553,4.42722e-09,6.65374e-05,1.0305
13,2.7,100,15000,1000000,1,0.010839,1.07215e-08,0.000103545,0.989161,1.07215e-08,0.000103545,1.96919
13,2.7,150,15000,1000000,1,0.018826,1.84716e-08,0.00013591,0.981171,1.84745e-08,0.000135921,3.00599
13,2.7,200,15000,1000000,1,0.028383,2.75774e-08,0.000166064,0.971577,2.76151e-08,0.000166178,4.37124
13,2.7,250,15000,1000000,1,0.040479,3.88405e-08,0.00019708,0.959278,3.90637e-08,0.000197645,5.56935
13,2.7,500,15000,1000000,1,0.112913,1.00164e-07,0.000316486,0.865612,1.16328e-07,0.000341069,16.0709
13,2.7,750,15000,1000000,1,0.15581,1.31533e-07,0.000362675,0.719933,2.01629e-07,0.000449032,32.9415
13,2.7,1000,15000,1000000,1,0.162173,1.35873e-07,0.000368609,0.543504,2.48107e-07,0.000498104,52.6834
13,2.7,1250,15000,1000000,1,0.162072,1.35805e-07,0.000368517,0.35896,2.30108e-07,0.000479695,70.3651
13,2.7,1500,15000,1000000,1,0.162627,1.36179e-07,0.000369025,0.191844,1.5504e-07,0.000393751,83.1486
13,2.7,1750,15000,1000000,1,0.161851,1.35655e-07,0.000368314,0.070414,6.54559e-08,0.000255843,90.3257
13,2.7,2000,15000,1000000,1,0.161815,1.35631e-07,0.000368281,0.01218,1.20316e-08,0.000109689,92.8988
13,2.7,2250,15000,1000000,1,0.162382,1.36014e-07,0.000368801,0.000327,3.26893e-10,1.80802e-05,93.8381
13,2.7,2500,15000,1000000,1,0.161821,1.35635e-07,0.000368287,0,0,0,94.3371
13,2.7,3000,15000,1000000,1,0.161746,1.35584e-07,0.000368218,0,0,0,94.2709
13,2.7,4000,15000,1000000,1,0.161806,1.35625e-07,0.000368273,0,0,0,93.6663
13,2.7,5000,15000,1000000,1,0.161509,1.35424e-07,0.000368,0,0,0,94.1734
14,2.33,5,15000,1000000,1,0.000363,3.62868e-10,1.90491e-05,0.999637,3.62868e-10,1.90491e-05,0.221229
14,2.33,10,15000,1000000,1,0.000782,7.81388e-10,2.79533e-05,0.999218,7.81388e-10,2.79533e-05,0.303097
14,2.33,20,15000,1000000,1,0.001578,1.57551e-09,3.96927e-05,0.998422,1.57551e-09,3.96927e-05,0.469711
14,2.33,30,15000,1000000,1,0.002483,2.47683e-09,4.97678e-05,0.997517,2.47683e-09,4.97678e-05,0.809515
14,2.33,40,15000,1000000,1,0.003504,3.49172e-09,5.90908e-05,0.996496,3.49172e-09,5.90908e-05,0.788241
14,2.33,50,15000,1000000,1,0.004417,4.39749e-09,6.63136e-05,0.995583,4.39749e-09,6.63136e-05,0.927691
14,2.33,100,15000,1000000,1,0.010077,9.97545e-09,9.98772e-05,0.989923,9.97545e-09,9.98772e-05,1.7592
14,2.33,150,15000,1000000,1,0.017211,1.69148e-08,0.000130057,0.982789,1.69148e-08,0.000130057,2.73376
14,2.33,200,15000,1000000,1,0.026704,2.59909e-08,0.000161217,0.973282,2.60041e-08,0.000161258,3.83268
14,2.33,250,15000,1000000,1,0.037642,3.62251e-08,0.000190329,0.962266,3.63101e-08,0.000190552,5.12983
14,2.33,500,15000,1000000,1,0.107411,9.58739e-08,0.000309635,0.880241,1.05417e-07,0.00032468,13.7611
14,2.33,750,15000,1000000,1,0.159616,1.34139e-07,0.00036625,0.755528,1.84705e-07,0.000429774,28.6097
14,2.33,1000,15000,1000000,1,0.175057,1.44412e-07,0.000380016,0.600373,2.39925e-07,0.000489822,46.7125
14,2.33,1250,15000,1000000,1,0.175726,1.44846e-07,0.000380587,0.435147,2.45794e-07,0.000495776,63.6882
14,2.33,1500,15000,1000000,1,0.175498,1.44698e-07,0.000380392,0.275289,1.99505e-07,0.00044666,77.9624
14,2.33,1750,15000,1000000,1,0.175806,1.44898e-07,0.000380655,0.142323,1.22067e-07,0.000349381,87.7096
14,2.33,2000,15000,1000000,1,0.175542,1.44727e-07,0.00038043,0.052063,4.93524e-08,0.000222154,94.5681
14,2.33,2250,15000,1000000,1,0.175158,1.44478e-07,0.000380102,0.009818,9.72161e-09,9.85982e-05,96.8134
14,2.33,2500,15000,1000000,1,0.176367,1.45262e-07,0.000381132,0.000433,4.32813e-10,2.08041e-05,96.2647
14,2.33,3000,15000,1000000,1,0.175325,1.44586e-07,0.000380245,0,0,0,97.158
14,2.33,4000,15000,1000000,1,0.175739,1.44855e-07,0.000380598,0,0,0,96.4518
14,2.33,5000,15000,1000000,1,0.175945,1.44988e-07,0.000380773,0,0,0,97.8429
26,7.86,5,15000,1000000,1,0.002353,2.34746e-09,4.84506e-05,0.997647,2.34746e-09,4.84506e-05,0.445871
26,7.86,10,15000,1000000,1,0.005091,5.06508e-09,7.11694e-05,0.994909,5.06508e-09,7.11694e-05,0.753381
26,7.86,20,15000,1000000,1,0.011695,1.15582e-08,0.000107509,0.988305,1.15582e-08,0.000107509,1.38086
26,7.86,30,15000,1000000,1,0.020194,1.97862e-08,0.000140663,0.979806,1.97862e-08,0.000140663,2.13601
26,7.86,40,15000,1000000,1,0.030932,2.99752e-08,0.000173134,0.969068,2.99752e-08,0.000173134,3.00862
26,7.86,50,15000,1000000,1,0.043109,4.12506e-08,0.000203102,0.956891,4.12506e-08,0.000203102,3.87401
26,7.86,100,15000,1000000,1,0.12198,1.07101e-07,0.000327263,0.877432,1.07545e-07,0.000327941,9.91928
26,7.86,150,15000,1000000,1,0.204151,1.62473e-07,0.00040308,0.783702,1.69513e-07,0.00041172,19.2922
26,7.86,200,15000,1000000,1,0.264256,1.94425e-07,0.000440936,0.680156,2.17544e-07,0.000466416,32.4751
26,7.86,250,15000,1000000,1,0.292422,2.06911e-07,0.000454875,0.572112,2.448e-07,0.000494773,48.4919
26,7.86,500,15000,1000000,1,0.304538,2.11795e-07,0.000460211,0.113404,1.00544e-07,0.000317086,111.788
26,7.86,750,15000,1000000,1,0.304464,2.11766e-07,0.00046018,0.001172,1.17063e-09,3.42144e-05,122.459
