atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
1,0.071,1e+09,15000,1000000,1,0.004995,4.97005e-09,7.04986e-05,0,0,0,33.4181
2,0.126,1e+09,15000,1000000,1,0.012059,1.19136e-08,0.000109149,0,0,0,44.2444
3,0.53,1e+09,15000,1000000,1,0.020861,2.04258e-08,0.000142919,0,0,0,52.9334
4,1.85,1e+09,15000,1000000,1,0.031992,3.09685e-08,0.000175979,0,0,0,58.8307
5,2.34,1e+09,15000,1000000,1,0.045185,4.31433e-08,0.00020771,0,0,0,63.8696
6,2.26,1e+09,15000,1000000,1,0.059329,5.58091e-08,0.000236239,0,0,0,69.7669
7,0.81,1e+09,15000,1000000,1,0.073809,6.83612e-08,0.00026146,0,0,0,73.6599
8,1.14,1e+09,15000,1000000,1,0.089209,8.12508e-08,0.000285045,0,0,0,76.8996
9,1.505,1e+09,15000,1000000,1,0.104051,9.32244e-08,0.000305327,0,0,0,80.9094
10,1.2,1e+09,15000,1000000,1,0.118855,1.04728e-07,0.000323618,0,0,0,84.8453
11,0.97,1e+09,15000,1000000,1,0.133376,1.15587e-07,0.000339981,0,0,0,89.1138
12,1.74,1e+09,15000,1000000,1,0.148231,1.26259e-07,0.000355329,0,0,0,90.5721
13,2.7,1e+09,15000,1000000,1,0.162137,1.35849e-07,0.000368576,0,0,0,93.4993
14,2.33,1e+09,15000,1000000,1,0.175263,1.44546e-07,0.000380192,0,0,0,99.8058
15,1.82,1e+09,15000,1000000,1,0.18855,1.52999e-07,0.000391151,0,0,0,99.5128
16,2.07,1e+09,15000,1000000,1,0.20141,1.60844e-07,0.000401054,0,0,0,102.584
17,1.56,1e+09,15000,1000000,1,0.21318,1.67734e-07,0.000409554,0,0,0,104.976
18,1.4,1e+09,15000,1000000,1,0.224855,1.74295e-07,0.000417487,0,0,0,106.476
19,0.86,1e+09,15000,1000000,1,0.236951,1.80805e-07,0.000425212,0,0,0,110.419
20,1.55,1e+09,15000,1000000,1,0.246685,1.85832e-07,0.000431082,0,0,0,110.481
21,3,1e+09,15000,1000000,1,0.257679,1.91281e-07,0.000437356,0,0,0,112.862
22,4.51,1e+09,15000,1000000,1,0.268084,1.96215e-07,0.000442962,0,0,0,114.837
23,6.1,1e+09,15000,1000000,1,0.276961,2.00254e-07,0.000447497,0,0,0,117.427
24,7.19,1e+09,15000,1000000,1,0.28673,2.04516e-07,0.000452234,0,0,0,118.882
25,7.43,1e+09,15000,1000000,1,0.295997,2.08383e-07,0.00045649,0,0,0,123.698
26,7.86,1e+09,15000,1000000,1,0.304869,2.11924e-07,0.000460352,0,0,0,122.963
27,8.9,1e+09,15000,1000000,1,0.312409,2.1481e-07,0.000463476,0,0,0,125.313
28,8.9,1e+09,15000,1000000,1,0.321209,2.18034e-07,0.000466941,0,0,0,124.814
29,8.96,1e+09,15000,1000000,1,0.329338,2.20874e-07,0.000469973,0,0,0,127.107
30,7.14,1e+09,15000,1000000,1,0.336414,2.2324e-07,0.000472482,0,0,0,128.169
31,5.91,1e+09,15000,1000000,1,0.344462,2.25808e-07,0.000475193,0,0,0,129.606
32,5.32,1e+09,15000,1000000,1,0.35208,2.2812e-07,0.000477619,0,0,0,132.416
33,5.72,1e+09,15000,1000000,1,0.357803,2.2978e-07,0.000479354,0,0,0,133.108
