atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,0.5,1e+09,15000,1000000,1,0.329088,2.20789e-07,0.000469882,0,0,0,128.73
29,0.5,1e+09,15000,1000000,2,0.329284,2.20856e-07,0.000469953,0,0,0,127.203
29,0.5,1e+09,15000,1000000,3,0.328817,2.20696e-07,0.000469783,0,0,0,127.49
29,0.5,1e+09,15000,1000000,4,0.328767,2.20679e-07,0.000469765,0,0,0,127.817
29,0.5,1e+09,15000,1000000,5,0.328564,2.2061e-07,0.000469691,0,0,0,128.16
29,0.5,1e+09,15000,1000000,6,0.328887,2.2072e-07,0.000469809,0,0,0,127.023
29,0.5,1e+09,15000,1000000,7,0.32884,2.20704e-07,0.000469792,0,0,0,127.837
29,0.5,1e+09,15000,1000000,8,0.329183,2.20822e-07,0.000469917,0,0,0,128.051
29,0.5,1e+09,15000,1000000,9,0.328232,2.20496e-07,0.00046957,0,0,0,128.32
29,0.5,1e+09,15000,1000000,10,0.329353,2.2088e-07,0.000469978,0,0,0,128.227
29,1,1e+09,15000,1000000,1,0.327853,2.20365e-07,0.000469431,0,0,0,127.601
29,1,1e+09,15000,1000000,2,0.3286,2.20622e-07,0.000469704,0,0,0,128.048
29,1,1e+09,15000,1000000,3,0.328681,2.2065e-07,0.000469734,0,0,0,127.856
29,1,1e+09,15000,1000000,4,0.32865,2.20639e-07,0.000469722,0,0,0,128.341
29,1,1e+09,15000,1000000,5,0.329115,2.20798e-07,0.000469892,0,0,0,127.73
29,1,1e+09,15000,1000000,6,0.328669,2.20646e-07,0.000469729,0,0,0,126.855
29,1,1e+09,15000,1000000,7,0.329717,2.21004e-07,0.00047011,0,0,0,127.202
29,1,1e+09,15000,1000000,8,0.329249,2.20844e-07,0.000469941,0,0,0,128.434
29,1,1e+09,15000,1000000,9,0.329102,2.20794e-07,0.000469887,0,0,0,127.007
29,1,1e+09,15000,1000000,10,0.328966,2.20747e-07,0.000469838,0,0,0,129.234
29,2,1e+09,15000,1000000,1,0.329087,2.20789e-07,0.000469882,0,0,0,128.124
29,2,1e+09,15000,1000000,2,0.328979,2.20752e-07,0.000469842,0,0,0,127.248
29,2,1e+09,15000,1000000,3,0.329832,2.21043e-07,0.000470152,0,0,0,127.904
29,2,1e+09,15000,1000000,4,0.329603,2.20965e-07,0.000470069,0,0,0,127.594
29,2,1e+09,15000,1000000,5,0.328439,2.20567e-07,0.000469645,0,0,0,129.209
29,2,1e+09,15000,1000000,6,0.329579,2.20957e-07,0.00047006,0,0,0,125.797
29,2,1e+09,15000,1000000,7,0.32883,2.20701e-07,0.000469788,0,0,0,127.85
29,2,1e+09,15000,1000000,8,0.328797,2.2069e-07,0.000469776,0,0,0,126.397
29,2,1e+09,15000,1000000,9,0.328748,2.20673e-07,0.000469758,0,0,0,127.306
29,2,1e+09,15000,1000000,10,0.328301,2.20519e-07,0.000469595,0,0,0,127.848
29,3,1e+09,15000,1000000,1,0.327957,2.20401e-07,0.000469469,0,0,0,127.15
29,3,1e+09,15000,1000000,2,0.328918,2.20731e-07,0.00046982,0,0,0,126.727
29,3,1e+09,15000,1000000,3,0.329048,2.20775e-07,0.000469867,0,0,0,128.013
29,3,1e+09,15000,1000000,4,0.329396,2.20894e-07,0.000469994,0,0,0,127.118
29,3,1e+09,15000,1000000,5,0.328726,2.20665e-07,0.00046975,0,0,0,126.187
29,3,1e+09,15000,1000000,6,0.329314,2.20866e-07,0.000469964,0,0,0,127.653
29,3,1e+09,15000,1000000,7,0.329712,2.21002e-07,0.000470108,0,0,0,128.003
29,3,1e+09,15000,1000000,8,0.329,2.20759e-07,0.00046985,0,0,0,128.506
29,3,1e+09,15000,1000000,9,0.329904,2.21067e-07,0.000470178,0,0,0,128.14
29,3,1e+09,15000,1000000,10,0.328851,2.20708e-07,0.000469796,0,0,0,127.568
29,4,1e+09,15000,1000000,1,0.329212,2.20831e-07,0.000469927,0,0,0,126.326
29,4,1e+09,15000,1000000,2,0.329521,2.20937e-07,0.000470039,0,0,0,126.346
29,4,1e+09,15000,1000000,3,0.328708,2.20659e-07,0.000469744,0,0,0,127.796
29,4,1e+09,15000,1000000,4,0.328831,2.20701e-07,0.000469788,0,0,0,127.243
29,4,1e+09,15000,1000000,5,0.329472,2.2092e-07,0.000470021,0,0,0,126.929
29,4,1e+09,15000,1000000,6,0.328845,2.20706e-07,0.000469794,0,0,0,127.72
29,4,1e+09,15000,1000000,7,0.328548,2.20604e-07,0.000469685,0,0,0,127.943
29,4,1e+09,15000,1000000,8,0.328391,2.2055e-07,0.000469628,0,0,0,90.694
29,4,1e+09,15000,1000000,9,0.328712,2.2066e-07,0.000469745,0,0,0,128.195
