atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,1e+09,1000,1000000,1,0.099225,8.93794e-08,0.000298964,0,0,0,9.56512
6,2.62,1e+09,2000,1000000,1,0.083126,7.62161e-08,0.000276073,0,0,0,15.6551
6,2.62,1e+09,3000,1000000,1,0.076383,7.05486e-08,0.00026561,0,0,0,20.8223
6,2.62,1e+09,4000,1000000,1,0.071894,6.67253e-08,0.000258312,0,0,0,25.6196
6,2.62,1e+09,5000,1000000,1,0.069105,6.43295e-08,0.000253633,0,0,0,30.3265
6,2.62,1e+09,10000,1000000,1,0.062124,5.82646e-08,0.000241381,0,0,0,50.7579
6,2.62,1e+09,15000,1000000,1,0.059147,5.56486e-08,0.0002359,0,0,0,68.9712
6,2.62,1e+09,20000,1000000,1,0.057724,5.43919e-08,0.000233221,0,0,0,86.4773
6,2.62,1e+09,25000,1000000,1,0.056389,5.32093e-08,0.000230671,0,0,0,102.682
6,2.62,1e+09,30000,1000000,1,0.055402,5.23326e-08,0.000228763,0,0,0,119.376
6,2.62,1e+09,40000,1000000,1,0.05514,5.20996e-08,0.000228253,0,0,0,149.581
6,2.62,1e+09,50000,1000000,1,0.055499,5.24189e-08,0.000228952,0,0,0,180.92
6,2.62,1e+09,60000,1000000,1,0.056129,5.29785e-08,0.000230171,0,0,0,210.863
13,2.7,1e+09,1000,1000000,1,0.224728,1.74225e-07,0.000417403,0,0,0,14.17
13,2.7,1e+09,2000,1000000,1,0.200891,1.60534e-07,0.000400667,0,0,0,22.9166
13,2.7,1e+09,3000,1000000,1,0.188551,1.53e-07,0.000391152,0,0,0,29.9172
13,2.7,1e+09,4000,1000000,1,0.183402,1.49766e-07,0.000386996,0,0,0,36.7336
13,2.7,1e+09,5000,1000000,1,0.177434,1.45951e-07,0.000382036,0,0,0,43.1459
13,2.7,1e+09,10000,1000000,1,0.166756,1.38948e-07,0.000372758,0,0,0,69.8501
13,2.7,1e+09,15000,1000000,1,0.161865,1.35665e-07,0.000368327,0,0,0,94.6854
13,2.7,1e+09,20000,1000000,1,0.160003,1.34402e-07,0.000366609,0,0,0,116.458
13,2.7,1e+09,25000,1000000,1,0.158932,1.33673e-07,0.000365613,0,0,0,140.22
13,2.7,1e+09,30000,1000000,1,0.157576,1.32746e-07,0.000364343,0,0,0,159.368
13,2.7,1e+09,40000,1000000,1,0.158777,1.33567e-07,0.000365468,0,0,0,200.546
13,2.7,1e+09,50000,1000000,1,0.159069,1.33766e-07,0.00036574,0,0,0,238.523
13,2.7,1e+09,60000,1000000,1,0.160267,1.34581e-07,0.000366853,0,0,0,279.398
14,2.33,1e+09,1000,1000000,1,0.240998,1.82918e-07,0.000427689,0,0,0,14.7479
14,2.33,1e+09,2000,1000000,1,0.215591,1.69112e-07,0.000411232,0,0,0,23.5819
14,2.33,1e+09,3000,1000000,1,0.203864,1.62303e-07,0.000402869,0,0,0,32.8632
14,2.33,1e+09,4000,1000000,1,0.196394,1.57823e-07,0.00039727,0,0,0,39.2684
14,2.33,1e+09,5000,1000000,1,0.192047,1.55165e-07,0.00039391,0,0,0,43.7392
14,2.33,1e+09,10000,1000000,1,0.179907,1.4754e-07,0.00038411,0,0,0,75.6217
14,2.33,1e+09,15000,1000000,1,0.175518,1.44711e-07,0.00038041,0,0,0,96.0489
14,2.33,1e+09,20000,1000000,1,0.173076,1.43121e-07,0.000378313,0,0,0,121.652
14,2.33,1e+09,25000,1000000,1,0.172976,1.43055e-07,0.000378227,0,0,0,143.053
14,2.33,1e+09,30000,1000000,1,0.171334,1.41979e-07,0.000376801,0,0,0,165.612
14,2.33,1e+09,40000,1000000,1,0.171535,1.42111e-07,0.000376976,0,0,0,206.156
14,2.33,1e+09,50000,1000000,1,0.172065,1.42459e-07,0.000377437,0,0,0,247.526
14,2.33,1e+09,60000,1000000,1,0.173221,1.43215e-07,0.000378438,0,0,0,298.085
