atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,8.96,1e+09,10000,10,1,0.4,0.024,0.154919,0,0,0,0.00096795
29,8.96,1e+09,10000,10,2,0.4,0.024,0.154919,0,0,0,0.000880859
29,8.96,1e+09,10000,10,3,0.3,0.021,0.144914,0,0,0,0.00109589
29,8.96,1e+09,10000,10,4,0.1,0.009,0.0948683,0,0,0,0.00121385
29,8.96,1e+09,10000,10,5,0.2,0.016,0.126491,0,0,0,0.0010959
29,8.96,1e+09,10000,10,6,0.2,0.016,0.126491,0,0,0,0.00111214
29,8.96,1e+09,10000,10,7,0.6,0.024,0.154919,0,0,0,0.00061039
29,8.96,1e+09,10000,10,8,0.4,0.024,0.154919,0,0,0,0.000847184
29,8.96,1e+09,10000,10,9,0.8,0.016,0.126491,0,0,0,0.000457363
29,8.96,1e+09,10000,10,10,0.2,0.016,0.126491,0,0,0,0.00107572
29,8.96,1e+09,10000,100,1,0.35,0.002275,0.047697,0,0,0,0.00947257
29,8.96,1e+09,10000,100,2,0.36,0.002304,0.048,0,0,0,0.00958892
29,8.96,1e+09,10000,100,3,0.32,0.002176,0.0466476,0,0,0,0.00999091
29,8.96,1e+09,10000,100,4,0.3,0.0021,0.0458258,0,0,0,0.0099043
29,8.96,1e+09,10000,100,5,0.28,0.002016,0.0448999,0,0,0,0.0101112
29,8.96,1e+09,10000,100,6,0.35,0.002275,0.047697,0,0,0,0.00953078
29,8.96,1e+09,10000,100,7,0.37,0.002331,0.0482804,0,0,0,0.00957661
29,8.96,1e+09,10000,100,8,0.35,0.002275,0.047697,0,0,0,0.00975247
29,8.96,1e+09,10000,100,9,0.31,0.002139,0.0462493,0,0,0,0.0100609
29,8.96,1e+09,10000,100,10,0.35,0.002275,0.047697,0,0,0,0.00967382
29,8.96,1e+09,10000,1000,1,0.329,0.000220759,0.014858,0,0,0,0.101375
29,8.96,1e+09,10000,1000,2,0.337,0.000223431,0.0149476,0,0,0,0.0967719
29,8.96,1e+09,10000,1000,3,0.337,0.000223431,0.0149476,0,0,0,0.0944661
29,8.96,1e+09,10000,1000,4,0.323,0.000218671,0.0147875,0,0,0,0.0924548
29,8.96,1e+09,10000,1000,5,0.32,0.0002176,0.0147513,0,0,0,0.0985986
29,8.96,1e+09,10000,1000,6,0.333,0.000222111,0.0149034,0,0,0,0.094202
29,8.96,1e+09,10000,1000,7,0.321,0.000217959,0.0147634,0,0,0,0.0920151
29,8.96,1e+09,10000,1000,8,0.324,0.000219024,0.0147995,0,0,0,0.0917578
29,8.96,1e+09,10000,1000,9,0.321,0.000217959,0.0147634,0,0,0,0.0962643
29,8.96,1e+09,10000,1000,10,0.347,0.000226591,0.0150529,0,0,0,0.0957359
29,8.96,1e+09,10000,10000,1,0.3417,2.24941e-05,0.0047428,0,0,0,0.981367
29,8.96,1e+09,10000,10000,2,0.339,2.24079e-05,0.0047337,0,0,0,0.965105
29,8.96,1e+09,10000,10000,3,0.3349,2.22742e-05,0.00471955,0,0,0,0.962393
29,8.96,1e+09,10000,10000,4,0.337,2.23431e-05,0.00472685,0,0,0,0.969545
29,8.96,1e+09,10000,10000,5,0.3408,2.24655e-05,0.00473978,0,0,0,1.10573
29,8.96,1e+09,10000,10000,6,0.3382,2.23821e-05,0.00473097,0,0,0,0.97146
29,8.96,1e+09,10000,10000,7,0.3286,2.20622e-05,0.00469704,0,0,0,0.950903
29,8.96,1e+09,10000,10000,8,0.3365,2.23268e-05,0.00472512,0,0,0,0.971371
29,8.96,1e+09,10000,10000,9,0.3438,2.25602e-05,0.00474975,0,0,0,0.959795
29,8.96,1e+09,10000,10000,10,0.3348,2.22709e-05,0.00471921,0,0,0,0.976835
29,8.96,1e+09,10000,100000,1,0.33643,2.23245e-06,0.00149414,0,0,0,9.70831
29,8.96,1e+09,10000,100000,2,0.33383,2.22388e-06,0.00149127,0,0,0,9.6177
29,8.96,1e+09,10000,100000,3,0.3368,2.23366e-06,0.00149454,0,0,0,9.62371
