atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,5,15000,1000000,1,0.00018,1.79968e-10,1.34152e-05,0.99982,1.79968e-10,1.34152e-05,0.209921
6,2.62,10,15000,1000000,1,0.000372,3.71862e-10,1.92837e-05,0.999628,3.71862e-10,1.92837e-05,0.273396
6,2.62,20,15000,1000000,1,0.000752,7.51434e-10,2.74123e-05,0.999248,7.51434e-10,2.74123e-05,0.412225
6,2.62,30,15000,1000000,1,0.001167,1.16564e-09,3.41414e-05,0.998833,1.16564e-09,3.41414e-05,0.543789
6,2.62,40,15000,1000000,1,0.001517,1.5147e-09,3.89191e-05,0.998483,1.5147e-09,3.89191e-05,0.669835
6,2.62,50,15000,1000000,1,0.001987,1.98305e-09,4.45315e-05,0.998013,1.98305e-09,4.45315e-05,0.812898
6,2.62,100,15000,1000000,1,0.004316,4.29737e-09,6.55543e-05,0.995684,4.29737e-09,6.55543e-05,1.50368
6,2.62,150,15000,1000000,1,0.007158,7.10676e-09,8.43016e-05,0.992833,7.11563e-09,8.43542e-05,2.21629
6,2.62,200,15000,1000000,1,0.010502,1.03917e-08,0.00010194,0.989453,1.04358e-08,0.000102156,2.94821
6,2.62,250,15000,1000000,1,0.013992,1.37962e-08,0.000117457,0.985737,1.40596e-08,0.000118573,3.86354
6,2.62,500,15000,1000000,1,0.037739,3.63148e-08,0.000190564,0.951221,4.63996e-08,0.000215406,9.22569
6,2.62,750,15000,1000000,1,0.055621,5.25273e-08,0.000229188,0.878828,1.06489e-07,0.000326327,17.9687
6,2.62,1000,15000,1000000,1,0.059131,5.56345e-08,0.00023587,0.759608,1.82604e-07,0.000427322,29.2347
6,2.62,1250,15000,1000000,1,0.059093,5.5601e-08,0.000235799,0.594953,2.40984e-07,0.000490901,42.0616
6,2.62,1500,15000,1000000,1,0.058792,5.53355e-08,0.000235235,0.393313,2.38618e-07,0.000488485,53.7731
6,2.62,1750,15000,1000000,1,0.058933,5.54599e-08,0.000235499,0.182118,1.48951e-07,0.000385942,62.946
6,2.62,2000,15000,1000000,1,0.059153,5.56539e-08,0.000235911,0.031818,3.08056e-08,0.000175515,68.7187
6,2.62,2250,15000,1000000,1,0.059136,5.56389e-08,0.000235879,2.6e-05,2.59993e-11,5.09895e-06,67.7243
6,2.62,2500,15000,1000000,1,0.05921,5.57042e-08,0.000236017,0,0,0,68.4678
6,2.62,3000,15000,1000000,1,0.059567,5.60188e-08,0.000236683,0,0,0,68.3495
6,2.62,4000,15000,1000000,1,0.059633,5.60769e-08,0.000236806,0,0,0,70.0911
6,2.62,5000,15000,1000000,1,0.059029,5.55446e-08,0.000235679,0,0,0,69.0313
13,2.7,5,15000,1000000,1,0.000412,4.1183e-10,2.02936e-05,0.999588,4.1183e-10,2.02936e-05,0.234295
13,2.7,10,15000,1000000,1,0.000858,8.57264e-10,2.92791e-05,0.999142,8.57264e-10,2.92791e-05,0.307391
13,2.7,20,15000,1000000,1,0.001628,1.62535e-09,4.03156e-05,0.998372,1.62535e-09,4.03156e-05,0.479945
13,2.7,30,15000,1000000,1,0.002543,2.53653e-09,5.0364e-05,0.997457,2.53653e-09,5.0364e-05,0.791492
13,2.7,40,15000,1000000,1,0.003433,3.42121e-09,5.84911e-05,0.996567,3.42121e-09,5.84911e-05,0.833113
13,2.7,50,15000,1000000,1,0.004565,4.54416e-09,6.74104e-05,0.995435,4.54416e-09,6.74104e-05,0.994762
13,2.7,100,15000,1000000,1,0.010604,1.04916e-08,0.000102428,0.989396,1.04916e-08,0.000102428,2.0977
13,2.7,150,15000,1000000,1,0.0187,1.83503e-08,0.000135463,0.981299,1.83513e-08,0.000135467,2.94546
13,2.7,200,15000,1000000,1,0.028446,2.76368e-08,0.000166243,0.97152,2.76689e-08,0.00016634,4.28467
13,2.7,250,15000,1000000,1,0.040164,3.85509e-08,0.000196344,0.959587,3.87798e-08,0.000196926,5.69701
13,2.7,500,15000,1000000,1,0.112439,9.97965e-08,0.000315906,0.866088,1.1598e-07,0.000340558,16.4286
13,2.7,750,15000,1000000,1,0.155112,1.31052e-07,0.000362011,0.720056,2.01575e-07,0.000448971,32.917
