atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
1,0.071,1e+09,15000,1000000,1,0.005057,5.03143e-09,7.09326e-05,0,0,0,21.5049
2,0.126,1e+09,15000,1000000,1,0.011612,1.14772e-08,0.000107132,0,0,0,30.2263
3,0.53,1e+09,15000,1000000,1,0.021161,2.07132e-08,0.000143921,0,0,0,35.0754
4,1.85,1e+09,15000,1000000,1,0.032222,3.11837e-08,0.000176589,0,0,0,39.2918
5,2.34,1e+09,15000,1000000,1,0.045166,4.3126e-08,0.000207668,0,0,0,42.9745
6,2.26,1e+09,15000,1000000,1,0.058752,5.53002e-08,0.00023516,0,0,0,46.3034
7,0.81,1e+09,15000,1000000,1,0.073366,6.79834e-08,0.000260736,0,0,0,49.3411
8,1.14,1e+09,15000,1000000,1,0.089095,8.11571e-08,0.000284881,0,0,0,52.1711
9,1.505,1e+09,15000,1000000,1,0.104008,9.31903e-08,0.000305271,0,0,0,54.7729
10,1.2,1e+09,15000,1000000,1,0.11843,1.04404e-07,0.000323117,0,0,0,57.2413
11,0.97,1e+09,15000,1000000,1,0.133701,1.15825e-07,0.000340331,0,0,0,59.5053
12,1.74,1e+09,15000,1000000,1,0.148238,1.26263e-07,0.000355336,0,0,0,61.6571
13,2.7,1e+09,15000,1000000,1,0.161918,1.35701e-07,0.000368376,0,0,0,63.699
14,2.33,1e+09,15000,1000000,1,0.175274,1.44553e-07,0.000380201,0,0,0,65.6472
15,1.82,1e+09,15000,1000000,1,0.188426,1.52922e-07,0.000391052,0,0,0,67.4773
16,2.07,1e+09,15000,1000000,1,0.200876,1.60525e-07,0.000400656,0,0,0,69.2311
17,1.56,1e+09,15000,1000000,1,0.213628,1.67991e-07,0.000409867,0,0,0,70.8765
18,1.4,1e+09,15000,1000000,1,0.225157,1.74461e-07,0.000417686,0,0,0,72.4701
19,0.86,1e+09,15000,1000000,1,0.236678,1.80662e-07,0.000425043,0,0,0,74.3207
20,1.55,1e+09,15000,1000000,1,0.247119,1.86051e-07,0.000431337,0,0,0,75.5322
21,3,1e+09,15000,1000000,1,0.256876,1.90891e-07,0.00043691,0,0,0,77.0134
22,4.51,1e+09,15000,1000000,1,0.267394,1.95894e-07,0.0004426,0,0,0,78.3635
23,6.1,1e+09,15000,1000000,1,0.276611,2.00097e-07,0.000447322,0,0,0,79.7525
24,7.19,1e+09,15000,1000000,1,0.286761,2.04529e-07,0.000452249,0,0,0,81.0059
25,7.43,1e+09,15000,1000000,1,0.295218,2.08064e-07,0.000456141,0,0,0,82.2964
26,7.86,1e+09,15000,1000000,1,0.303925,2.11555e-07,0.000459951,0,0,0,83.5387
27,8.9,1e+09,15000,1000000,1,0.313805,2.15331e-07,0.000464038,0,0,0,84.5896
28,8.9,1e+09,15000,1000000,1,0.321116,2.18001e-07,0.000466905,0,0,0,85.8498
29,8.96,1e+09,15000,1000000,1,0.328644,2.20637e-07,0.00046972,0,0,0,87.008
30,7.14,1e+09,15000,1000000,1,0.336848,2.23381e-07,0.000472632,0,0,0,88.0728
31,5.91,1e+09,15000,1000000,1,0.344167,2.25716e-07,0.000475096,0,0,0,89.1543
32,5.32,1e+09,15000,1000000,1,0.35135,2.27903e-07,0.000477392,0,0,0,90.2221
33,5.72,1e+09,15000,1000000,1,0.35795,2.29822e-07,0.000479397,0,0,0,91.2764
34,4.79,1e+09,15000,1000000,1,0.365082,2.31797e-07,0.000481453,0,0,0,92.2593
35,3.12,1e+09,15000,1000000,1,0.37155,2.33501e-07,0.000483219,0,0,0,93.2953
36,2.6,1e+09,15000,1000000,1,0.37876,2.35301e-07,0.000485078,0,0,0,94.1439
37,1.53,1e+09,15000,1000000,1,0.383722,2.36479e-07,0.000486292,0,0,0,95.2261
38,2.6,1e+09,15000,1000000,1,0.390316,2.37969e-07,0.000487821,0,0,0,96.506
39,4.47,1e+09,15000,1000000,1,0.395641,2.39109e-07,0.000488988,0,0,0,97.9458
40,6.49,1e+09,15000,1000000,1,0.401492,2.40296e-07,0.0004902,0,0,0,97.9484
41,8.4,1e+09,15000,1000000,1,0.407874,2.41513e-07,0.00049144,0,0,0,98.748
