atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,0.5,1e+09,15000,1000000,1,0.329762,2.21019e-07,0.000470127,0,0,0,86.9165
29,0.5,1e+09,15000,1000000,2,0.328794,2.20689e-07,0.000469775,0,0,0,86.9788
29,0.5,1e+09,15000,1000000,3,0.32899,2.20756e-07,0.000469846,0,0,0,86.9995
29,0.5,1e+09,15000,1000000,4,0.329222,2.20835e-07,0.000469931,0,0,0,87.0973
29,0.5,1e+09,15000,1000000,5,0.328955,2.20744e-07,0.000469834,0,0,0,87.0255
29,0.5,1e+09,15000,1000000,6,0.329404,2.20897e-07,0.000469997,0,0,0,87.3073
29,0.5,1e+09,15000,1000000,7,0.329229,2.20837e-07,0.000469933,0,0,0,87.2829
29,0.5,1e+09,15000,1000000,8,0.327992,2.20413e-07,0.000469482,0,0,0,87.2584
29,0.5,1e+09,15000,1000000,9,0.328429,2.20563e-07,0.000469642,0,0,0,87.24
29,0.5,1e+09,15000,1000000,10,0.328762,2.20678e-07,0.000469763,0,0,0,87.2445
29,1,1e+09,15000,1000000,1,0.329601,2.20964e-07,0.000470068,0,0,0,87.0742
29,1,1e+09,15000,1000000,2,0.329365,2.20884e-07,0.000469983,0,0,0,87.3533
29,1,1e+09,15000,1000000,3,0.32896,2.20745e-07,0.000469835,0,0,0,87.429
29,1,1e+09,15000,1000000,4,0.329285,2.20856e-07,0.000469954,0,0,0,87.3494
29,1,1e+09,15000,1000000,5,0.328581,2.20616e-07,0.000469697,0,0,0,87.0522
29,1,1e+09,15000,1000000,6,0.328843,2.20705e-07,0.000469793,0,0,0,86.9749
29,1,1e+09,15000,1000000,7,0.328141,2.20464e-07,0.000469536,0,0,0,87.0556
29,1,1e+09,15000,1000000,8,0.330404,2.21237e-07,0.000470359,0,0,0,86.8252
29,1,1e+09,15000,1000000,9,0.328427,2.20563e-07,0.000469641,0,0,0,87.0191
29,1,1e+09,15000,1000000,10,0.329345,2.20877e-07,0.000469975,0,0,0,86.9155
29,2,1e+09,15000,1000000,1,0.328773,2.20681e-07,0.000469767,0,0,0,87.0207
29,2,1e+09,15000,1000000,2,0.329373,2.20886e-07,0.000469986,0,0,0,86.9577
29,2,1e+09,15000,1000000,3,0.328678,2.20649e-07,0.000469733,0,0,0,87.0037
29,2,1e+09,15000,1000000,4,0.328234,2.20496e-07,0.00046957,0,0,0,87.0511
29,2,1e+09,15000,1000000,5,0.329137,2.20806e-07,0.0004699,0,0,0,86.9768
29,2,1e+09,15000,1000000,6,0.32903,2.20769e-07,0.000469861,0,0,0,86.9406
29,2,1e+09,15000,1000000,7,0.329344,2.20877e-07,0.000469975,0,0,0,86.9263
29,2,1e+09,15000,1000000,8,0.329243,2.20842e-07,0.000469938,0,0,0,86.9342
29,2,1e+09,15000,1000000,9,0.329126,2.20802e-07,0.000469896,0,0,0,86.9401
29,2,1e+09,15000,1000000,10,0.329123,2.20801e-07,0.000469895,0,0,0,86.955
29,3,1e+09,15000,1000000,1,0.328744,2.20671e-07,0.000469757,0,0,0,86.9916
29,3,1e+09,15000,1000000,2,0.328865,2.20713e-07,0.000469801,0,0,0,87.0039
29,3,1e+09,15000,1000000,3,0.32888,2.20718e-07,0.000469806,0,0,0,86.9804
29,3,1e+09,15000,1000000,4,0.328128,2.2046e-07,0.000469532,0,0,0,87.058
