atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
29,8.96,1e+09,10000,10,1,0.3,0.021,0.144914,0,0,0,0.000690555
29,8.96,1e+09,10000,10,2,0.6,0.024,0.154919,0,0,0,0.00049305
29,8.96,1e+09,10000,10,3,0.3,0.021,0.144914,0,0,0,0.000654818
29,8.96,1e+09,10000,10,4,0.3,0.021,0.144914,0,0,0,0.000657411
29,8.96,1e+09,10000,10,5,0.2,0.016,0.126491,0,0,0,0.000759309
29,8.96,1e+09,10000,10,6,0.2,0.016,0.126491,0,0,0,0.000783891
29,8.96,1e+09,10000,10,7,0.1,0.009,0.0948683,0,0,0,0.000785352
29,8.96,1e+09,10000,10,8,0.5,0.025,0.158114,0,0,0,0.000529247
29,8.96,1e+09,10000,10,9,0.3,0.021,0.144914,0,0,0,0.000704167
29,8.96,1e+09,10000,10,10,0.5,0.025,0.158114,0,0,0,0.000600772
29,8.96,1e+09,10000,100,1,0.21,0.001659,0.0407308,0,0,0,0.00754136
29,8.96,1e+09,10000,100,2,0.33,0.002211,0.0470213,0,0,0,0.00677632
29,8.96,1e+09,10000,100,3,0.36,0.002304,0.048,0,0,0,0.00643784
29,8.96,1e+09,10000,100,4,0.32,0.002176,0.0466476,0,0,0,0.00675823
29,8.96,1e+09,10000,100,5,0.37,0.002331,0.0482804,0,0,0,0.00631213
29,8.96,1e+09,10000,100,6,0.33,0.002211,0.0470213,0,0,0,0.00656233
29,8.96,1e+09,10000,100,7,0.43,0.002451,0.0495076,0,0,0,0.00593663
29,8.96,1e+09,10000,100,8,0.34,0.002244,0.0473709,0,0,0,0.00673067
29,8.96,1e+09,10000,100,9,0.28,0.002016,0.0448999,0,0,0,0.00705065
29,8.96,1e+09,10000,100,10,0.46,0.002484,0.0498397,0,0,0,0.00559947
29,8.96,1e+09,10000,1000,1,0.334,0.000222444,0.0149146,0,0,0,0.0659777
29,8.96,1e+09,10000,1000,2,0.319,0.000217239,0.014739,0,0,0,0.0668887
29,8.96,1e+09,10000,1000,3,0.332,0.000221776,0.0148921,0,0,0,0.0660415
29,8.96,1e+09,10000,1000,4,0.349,0.000227199,0.0150731,0,0,0,0.0655171
29,8.96,1e+09,10000,1000,5,0.341,0.000224719,0.0149906,0,0,0,0.0655648
29,8.96,1e+09,10000,1000,6,0.348,0.000226896,0.0150631,0,0,0,0.0654261
29,8.96,1e+09,10000,1000,7,0.324,0.000219024,0.0147995,0,0,0,0.06668
29,8.96,1e+09,10000,1000,8,0.367,0.000232311,0.0152418,0,0,0,0.06395
29,8.96,1e+09,10000,1000,9,0.351,0.000227799,0.015093,0,0,0,0.0645011
29,8.96,1e+09,10000,1000,10,0.341,0.000224719,0.0149906,0,0,0,0.0653523
29,8.96,1e+09,10000,10000,1,0.3416,2.24909e-05,0.00474246,0,0,0,0.654802
29,8.96,1e+09,10000,10000,2,0.3321,2.2181e-05,0.00470967,0,0,0,0.660172
29,8.96,1e+09,10000,10000,3,0.3387,2.23982e-05,0.00473268,0,0,0,0.655139
29,8.96,1e+09,10000,10000,4,0.3333,2.22211e-05,0.00471393,0,0,0,0.659905
29,8.96,1e+09,10000,10000,5,0.3313,2.2154e-05,0.00470681,0,0,0,0.661678
29,8.96,1e+09,10000,10000,6,0.3426,2.25225e-05,0.00474579,0,0,0,0.652429
