atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,5,15000,1000000,1,0.000211,2.10955e-10,1.45243e-05,0.999789,2.10955e-10,1.45243e-05,0.150978
6,2.62,10,15000,1000000,1,0.000364,3.63868e-10,1.90753e-05,0.999636,3.63868e-10,1.90753e-05,0.187905
6,2.62,20,15000,1000000,1,0.000721,7.2048e-10,2.68418e-05,0.999279,7.2048e-10,2.68418e-05,0.274703
6,2.62,30,15000,1000000,1,0.001147,1.14568e-09,3.3848e-05,0.998853,1.14568e-09,3.3848e-05,0.364846
6,2.62,40,15000,1000000,1,0.001572,1.56953e-09,3.96173e-05,0.998428,1.56953e-09,3.96173e-05,0.454446
6,2.62,50,15000,1000000,1,0.001972,1.96811e-09,4.43634e-05,0.998028,1.96811e-09,4.43634e-05,0.544613
6,2.62,100,15000,1000000,1,0.004304,4.28548e-09,6.54635e-05,0.995695,4.28647e-09,6.54711e-05,1.00987
6,2.62,150,15000,1000000,1,0.007194,7.14225e-09,8.45118e-05,0.992801,7.14717e-09,8.4541e-05,1.50493
6,2.62,200,15000,1000000,1,0.01041,1.03016e-08,0.000101497,0.989532,1.03584e-08,0.000101776,2.03499
6,2.62,250,15000,1000000,1,0.014177,1.3976e-08,0.00011822,0.985569,1.42227e-08,0.000119259,2.60442
6,2.62,500,15000,1000000,1,0.038005,3.65606e-08,0.000191208,0.95077,4.68064e-08,0.000216348,6.37188
6,2.62,750,15000,1000000,1,0.055941,5.28116e-08,0.000229808,0.878374,1.06833e-07,0.000326853,12.2788
6,2.62,1000,15000,1000000,1,0.059287,5.57721e-08,0.000236161,0.759437,1.82692e-07,0.000427425,19.988
6,2.62,1250,15000,1000000,1,0.059445,5.59113e-08,0.000236456,0.595539,2.40872e-07,0.000490787,28.3616
6,2.62,1500,15000,1000000,1,0.059422,5.5891e-08,0.000236413,0.393804,2.38722e-07,0.000488592,36.3332
6,2.62,1750,15000,1000000,1,0.058928,5.54555e-08,0.00023549,0.182322,1.49081e-07,0.00038611,42.6248
6,2.62,2000,15000,1000000,1,0.05896,5.54837e-08,0.00023555,0.031499,3.05068e-08,0.000174662,45.8793
6,2.62,2250,15000,1000000,1,0.059034,5.5549e-08,0.000235688,4e-05,3.99984e-11,6.32443e-06,46.2856
6,2.62,2500,15000,1000000,1,0.058565,5.51351e-08,0.000234809,0,0,0,46.3095
6,2.62,3000,15000,1000000,1,0.058893,5.54246e-08,0.000235424,0,0,0,46.2948
6,2.62,4000,15000,1000000,1,0.059074,5.55843e-08,0.000235763,0,0,0,46.2993
6,2.62,5000,15000,1000000,1,0.059003,5.55216e-08,0.00023563,0,0,0,46.2978
13,2.7,5,15000,1000000,1,0.000406,4.05835e-10,2.01454e-05,0.999594,4.05835e-10,2.01454e-05,0.154889
13,2.7,10,15000,1000000,1,0.000799,7.98362e-10,2.82553e-05,0.999201,7.98362e-10,2.82553e-05,0.211682
13,2.7,20,15000,1000000,1,0.001708,1.70508e-09,4.12926e-05,0.998292,1.70508e-09,4.12926e-05,0.327674
13,2.7,30,15000,1000000,1,0.002584,2.57732e-09,5.07673e-05,0.997416,2.57732e-09,5.07673e-05,0.444672
13,2.7,40,15000,1000000,1,0.003476,3.46392e-09,5.88551e-05,0.996524,3.46392e-09,5.88551e-05,0.563721
13,2.7,50,15000,1000000,1,0.00461,4.58875e-09,6.77403e-05,0.99539,4.58875e-09,6.77403e-05,0.68464
13,2.7,100,15000,1000000,1,0.010586,1.04739e-08,0.000102342,0.989414,1.04739e-08,0.000102342,1.32405
13,2.7,150,15000,1000000,1,0.0187,1.83503e-08,0.000135463,0.981299,1.83513e-08,0.000135467,2.03907
13,2.7,200,15000,1000000,1,0.02825,2.74519e-08,0.000165686,0.971717,2.74831e-08,0.00016578,2.83967
13,2.7,250,15000,1000000,1,0.040175,3.8561e-08,0.000196369,0.959589,3.8778e-08,0.000196921,3.75432
13,2.7,500,15000,1000000,1,0.112875,1.00134e-07,0.00031644,0.865274,1.16575e-07,0.000341431,10.8408
13,2.7,750,15000,1000000,1,0.155411,1.31258e-07,0.000362296,0.720004,2.01598e-07,0.000448997,22.4573
13,2.7,1000,15000,1000000,1,0.161356,1.3532e-07,0.000367859,0.543959,2.48068e-07,0.000498064,35.6097
13,2.7,1250,15000,1000000,1,0.162921,1.36378e-07,0.000369294,0.358085,2.2986e-07,0.000479437,47.26
13,2.7,1500,15000,1000000,1,0.162088,1.35815e-07,0.000368532,0.191291,1.54699e-07,0.000393318,56.0811
13,2.7,1750,15000,1000000,1,0.162374,1.36009e-07,0.000368794,0.070165,6.52419e-08,0.000255425,61.3258
13,2.7,2000,15000,1000000,1,0.162212,1.35899e-07,0.000368645,0.012292,1.21409e-08,0.000110186,63.3677
13,2.7,2250,15000,1000000,1,0.162485,1.36084e-07,0.000368895,0.00026,2.59932e-10,1.61224e-05,63.6565
13,2.7,2500,15000,1000000,1,0.161841,1.35648e-07,0.000368305,0,0,0,63.6827
13,2.7,3000,15000,1000000,1,0.161439,1.35376e-07,0.000367935,0,0,0,63.7076
13,2.7,4000,15000,1000000,1,0.161948,1.35721e-07,0.000368403,0,0,0,63.6798
13,2.7,5000,15000,1000000,1,0.161904,1.35691e-07,0.000368363,0,0,0,63.6971
14,2.33,5,15000,1000000,1,0.000414,4.13829e-10,2.03428e-05,0.999586,4.13829e-10,2.03428e-05,0.149637
14,2.33,10,15000,1000000,1,0.000753,7.52433e-10,2.74305e-05,0.999247,7.52433e-10,2.74305e-05,0.202405
14,2.33,20,15000,1000000,1,0.001487,1.48479e-09,3.8533e-05,0.998513,1.48479e-09,3.8533e-05,0.307873
14,2.33,30,15000,1000000,1,0.00238,2.37434e-09,4.87272e-05,0.99762,2.37434e-09,4.87272e-05,0.415322
14,2.33,40,15000,1000000,1,0.003291,3.28017e-09,5.72728e-05,0.996709,3.28017e-09,5.72728e-05,0.523368
14,2.33,50,15000,1000000,1,0.004349,4.33009e-09,6.58034e-05,0.995651,4.33009e-09,6.58034e-05,0.633326
