atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,5,15000,1000000,1,0.000188,1.87965e-10,1.371e-05,0.999812,1.87965e-10,1.371e-05,0.141905
6,2.62,10,15000,1000000,1,0.000348,3.47879e-10,1.86515e-05,0.999652,3.47879e-10,1.86515e-05,0.186219
6,2.62,20,15000,1000000,1,0.000761,7.60421e-10,2.75757e-05,0.999239,7.60421e-10,2.75757e-05,0.274794
6,2.62,30,15000,1000000,1,0.001128,1.12673e-09,3.35668e-05,0.998872,1.12673e-09,3.35668e-05,0.364004
6,2.62,40,15000,1000000,1,0.001558,1.55557e-09,3.94407e-05,0.998442,1.55557e-09,3.94407e-05,0.454219
6,2.62,50,15000,1000000,1,0.002014,2.00994e-09,4.48324e-05,0.997986,2.00994e-09,4.48324e-05,0.545026
6,2.62,100,15000,1000000,1,0.004244,4.22599e-09,6.50076e-05,0.995756,4.22599e-09,6.50076e-05,1.0116
6,2.62,150,15000,1000000,1,0.007126,7.07522e-09,8.41143e-05,0.992861,7.08803e-09,8.41905e-05,1.50692
6,2.62,200,15000,1000000,1,0.01047,1.03604e-08,0.000101786,0.989462,1.0427e-08,0.000102112,2.03474
6,2.62,250,15000,1000000,1,0.013938,1.37437e-08,0.000117234,0.985776,1.40217e-08,0.000118413,2.60606
6,2.62,500,15000,1000000,1,0.038134,3.66798e-08,0.00019152,0.950717,4.68542e-08,0.000216458,6.37547
6,2.62,750,15000,1000000,1,0.055627,5.25326e-08,0.0002292,0.878761,1.0654e-07,0.000326405,12.2677
6,2.62,1000,15000,1000000,1,0.059143,5.56451e-08,0.000235892,0.760479,1.82151e-07,0.000426791,19.9574
6,2.62,1250,15000,1000000,1,0.0591,5.56072e-08,0.000235812,0.59505,2.40965e-07,0.000490882,28.3751
6,2.62,1500,15000,1000000,1,0.058758,5.53055e-08,0.000235171,0.393918,2.38747e-07,0.000488617,36.356
6,2.62,1750,15000,1000000,1,0.058995,5.55146e-08,0.000235615,0.181565,1.48599e-07,0.000385486,42.6503
6,2.62,2000,15000,1000000,1,0.05942,5.58893e-08,0.000236409,0.031505,3.05124e-08,0.000174678,45.8302
6,2.62,2250,15000,1000000,1,0.058873,5.5407e-08,0.000235387,4.2e-05,4.19982e-11,6.4806e-06,46.2879
6,2.62,2500,15000,1000000,1,0.059111,5.56169e-08,0.000235832,0,0,0,46.2938
6,2.62,3000,15000,1000000,1,0.059312,5.57941e-08,0.000236208,0,0,0,46.2884
6,2.62,4000,15000,1000000,1,0.059079,5.55887e-08,0.000235773,0,0,0,46.2984
6,2.62,5000,15000,1000000,1,0.059466,5.59298e-08,0.000236495,0,0,0,46.2898
13,2.7,5,15000,1000000,1,0.000361,3.6087e-10,1.89966e-05,0.999639,3.6087e-10,1.89966e-05,0.154871
13,2.7,10,15000,1000000,1,0.000773,7.72402e-10,2.77921e-05,0.999227,7.72402e-10,2.77921e-05,0.211737
13,2.7,20,15000,1000000,1,0.001599,1.59644e-09,3.99555e-05,0.998401,1.59644e-09,3.99555e-05,0.327814
13,2.7,30,15000,1000000,1,0.002489,2.4828e-09,4.98278e-05,0.997511,2.4828e-09,4.98278e-05,0.443814
13,2.7,40,15000,1000000,1,0.00356,3.54733e-09,5.95594e-05,0.99644,3.54733e-09,5.95594e-05,0.560786
13,2.7,50,15000,1000000,1,0.004647,4.62541e-09,6.80103e-05,0.995353,4.62541e-09,6.80103e-05,0.68541
13,2.7,100,15000,1000000,1,0.010698,1.05836e-08,0.000102876,0.989302,1.05836e-08,0.000102876,1.32369
13,2.7,150,15000,1000000,1,0.018449,1.81086e-08,0.000134568,0.981545,1.81144e-08,0.00013459,2.03768
13,2.7,200,15000,1000000,1,0.028477,2.76661e-08,0.000166331,0.971492,2.76953e-08,0.000166419,2.83976
13,2.7,250,15000,1000000,1,0.039971,3.83733e-08,0.000195891,0.959805,3.85794e-08,0.000196416,3.74819
13,2.7,500,15000,1000000,1,0.112762,1.00047e-07,0.000316302,0.865859,1.16147e-07,0.000340804,10.8009
13,2.7,750,15000,1000000,1,0.155223,1.31129e-07,0.000362117,0.720383,2.01431e-07,0.000448811,22.4437
13,2.7,1000,15000,1000000,1,0.162512,1.36102e-07,0.00036892,0.543044,2.48147e-07,0.000498144,35.5825
13,2.7,1250,15000,1000000,1,0.16199,1.35749e-07,0.000368442,0.358612,2.30009e-07,0.000479593,47.2874
13,2.7,1500,15000,1000000,1,0.162303,1.35961e-07,0.000368729,0.1919,1.55074e-07,0.000393795,56.0582
13,2.7,1750,15000,1000000,1,0.162066,1.35801e-07,0.000368511,0.070131,6.52126e-08,0.000255368,61.3306
13,2.7,2000,15000,1000000,1,0.161829,1.3564e-07,0.000368294,0.012035,1.18902e-08,0.000109042,63.3593
13,2.7,2250,15000,1000000,1,0.162329,1.35978e-07,0.000368752,0.000334,3.33888e-10,1.82726e-05,63.6418
13,2.7,2500,15000,1000000,1,0.162354,1.35995e-07,0.000368775,0,0,0,63.6482
13,2.7,3000,15000,1000000,1,0.161774,1.35603e-07,0.000368243,0,0,0,63.6966
13,2.7,4000,15000,1000000,1,0.16149,1.35411e-07,0.000367982,0,0,0,63.7182
13,2.7,5000,15000,1000000,1,0.162071,1.35804e-07,0.000368516,0,0,0,63.6732
14,2.33,5,15000,1000000,1,0.000392,3.91846e-10,1.97951e-05,0.999608,3.91846e-10,1.97951e-05,0.149643
14,2.33,10,15000,1000000,1,0.000777,7.76396e-10,2.78639e-05,0.999223,7.76396e-10,2.78639e-05,0.201939
14,2.33,20,15000,1000000,1,0.001581,1.5785e-09,3.97303e-05,0.998419,1.5785e-09,3.97303e-05,0.308006
14,2.33,30,15000,1000000,1,0.002479,2.47285e-09,4.97278e-05,0.997521,2.47285e-09,4.97278e-05,0.415382
14,2.33,40,15000,1000000,1,0.003386,3.37454e-09,5.80907e-05,0.996614,3.37454e-09,5.80907e-05,0.523532
14,2.33,50,15000,1000000,1,0.004275,4.25672e-09,6.52436e-05,0.995725,4.25672e-09,6.52436e-05,0.633733
14,2.33,100,15000,1000000,1,0.010108,1.00058e-08,0.000100029,0.989892,1.00058e-08,0.000100029,1.21505
14,2.33,150,15000,1000000,1,0.017357,1.70557e-08,0.000130598,0.982641,1.70577e-08,0.000130605,1.85615
14,2.33,200,15000,1000000,1,0.02655,2.58451e-08,0.000160764,0.97344,2.58546e-08,0.000160794,2.5714
14,2.33,250,15000,1000000,1,0.037477,3.60725e-08,0.000189928,0.962426,3.61622e-08,0.000190164,3.37565
14,2.33,500,15000,1000000,1,0.106796,9.53906e-08,0.000308854,0.880945,1.04881e-07,0.000323853,9.36665
14,2.33,750,15000,1000000,1,0.159957,1.34371e-07,0.000366566,0.754968,1.84991e-07,0.000430106,19.4064
14,2.33,1000,15000,1000000,1,0.175508,1.44705e-07,0.000380401,0.59978,2.40044e-07,0.000489943,31.6675
14,2.33,1250,15000,1000000,1,0.175846,1.44924e-07,0.000380689,0.434662,2.45731e-07,0.000495713,43.3713
14,2.33,1500,15000,1000000,1,0.175586,1.44756e-07,0.000380468,0.274886,1.99324e-07,0.000446457,53.0558
14,2.33,1750,15000,1000000,1,0.17514,1.44466e-07,0.000380087,0.142611,1.22273e-07,0.000349676,59.9074
14,2.33,2000,15000,1000000,1,0.175283,1.44559e-07,0.000380209,0.051795,4.91123e-08,0.000221613,63.8484
14,2.33,2250,15000,1000000,1,0.175516,1.4471e-07,0.000380408,0.010036,9.93528e-09,9.96759e-05,65.3252
14,2.33,2500,15000,1000000,1,0.175702,1.44831e-07,0.000380566,0.000468,4.67781e-10,2.16282e-05,65.5877
14,2.33,3000,15000,1000000,1,0.175309,1.44576e-07,0.000380231,0,0,0,65.5981
14,2.33,4000,15000,1000000,1,0.175634,1.44787e-07,0.000380508,0,0,0,65.6544
14,2.33,5000,15000,1000000,1,0.175855,1.4493e-07,0.000380697,0,0,0,65.6112
26,7.86,5,15000,1000000,1,0.002327,2.32159e-09,4.81828e-05,0.997673,2.32159e-09,4.81828e-05,0.303007
26,7.86,10,15000,1000000,1,0.005033,5.00767e-09,7.07649e-05,0.994967,5.00767e-09,7.07649e-05,0.513611
26,7.86,20,15000,1000000,1,0.011867,1.17262e-08,0.000108287,0.988133,1.17262e-08,0.000108287,0.968471
26,7.86,30,15000,1000000,1,0.020448,2.00299e-08,0.000141527,0.979552,2.00299e-08,0.000141527,1.46823
26,7.86,40,15000,1000000,1,0.030601,2.96646e-08,0.000172234,0.969399,2.96646e-08,0.000172234,2.02326
26,7.86,50,15000,1000000,1,0.042547,4.07368e-08,0.000201833,0.957453,4.07368e-08,0.000201833,2.63719
26,7.86,100,15000,1000000,1,0.121732,1.06913e-07,0.000326976,0.877703,1.0734e-07,0.000327629,6.7276
26,7.86,150,15000,1000000,1,0.205069,1.63016e-07,0.000403752,0.782947,1.69941e-07,0.000412239,13.0655
26,7.86,200,15000,1000000,1,0.263017,1.93839e-07,0.000440272,0.681062,2.17217e-07,0.000466065,22.1655
26,7.86,250,15000,1000000,1,0.292661,2.07011e-07,0.000454984,0.572131,2.44797e-07,0.00049477,33.1992
26,7.86,500,15000,1000000,1,0.304743,2.11875e-07,0.000460298,0.113132,1.00333e-07,0.000316754,75.8964
26,7.86,750,15000,1000000,1,0.304678,2.11849e-07,0.000460271,0.001126,1.12473e-09,3.3537e-05,83.4358
26,7.86,1000,15000,1000000,1,0.305181,2.12046e-07,0.000460484,0,0,0,83.4153
26,7.86,1250,15000,1000000,1,0.304874,2.11926e-07,0.000460354,0,0,0,83.4457
26,7.86,1500,15000,1000000,1,0.30493,2.11948e-07,0.000460378,0,0,0,83.4301
26,7.86,1750,15000,1000000,1,0.304125,2.11633e-07,0.000460036,0,0,0,83.4952
26,7.86,2000,15000,1000000,1,0.30399,2.1158e-07,0.000459978,0,0,0,83.5197
26,7.86,2250,15000,1000000,1,0.304302,2.11702e-07,0.000460111,0,0,0,83.4967
26,7.86,2500,15000,1000000,1,0.304664,2.11844e-07,0.000460265,0,0,0,83.4568
26,7.86,3000,15000,1000000,1,0.304184,2.11656e-07,0.000460061,0,0,0,83.4646
26,7.86,4000,15000,1000000,1,0.304106,2.11626e-07,0.000460028,0,0,0,83.5162
26,7.86,5000,15000,1000000,1,0.304515,2.11786e-07,0.000460202,0,0,0,83.4926
29,8.96,5,15000,1000000,1,0.003077,3.06753e-09,5.53853e-05,0.996923,3.06753e-09,5.53853e-05,0.336291
29,8.96,10,15000,1000000,1,0.006438,6.39655e-09,7.99784e-05,0.993562,6.39655e-09,7.99784e-05,0.585468
29,8.96,20,15000,1000000,1,0.015724,1.54768e-08,0.000124406,0.984276,1.54768e-08,0.000124406,1.12818
29,8.96,30,15000,1000000,1,0.027279,2.65349e-08,0.000162895,0.972721,2.65349e-08,0.000162895,1.73874
29,8.96,40,15000,1000000,1,0.041837,4.00867e-08,0.000200217,0.958163,4.00867e-08,0.000200217,2.43327
29,8.96,50,15000,1000000,1,0.058626,5.5189e-08,0.000234923,0.941373,5.51899e-08,0.000234925,3.21422
29,8.96,100,15000,1000000,1,0.160763,1.34918e-07,0.000367312,0.837835,1.35868e-07,0.000368602,8.54978
29,8.96,150,15000,1000000,1,0.253045,1.89013e-07,0.000434757,0.722978,2.00281e-07,0.000447527,17.1632
29,8.96,200,15000,1000000,1,0.30549,2.12166e-07,0.000460615,0.601757,2.39646e-07,0.000489536,29.2925
29,8.96,250,15000,1000000,1,0.325409,2.19518e-07,0.000468527,0.476049,2.49426e-07,0.000499426,43.016
29,8.96,500,15000,1000000,1,0.328398,2.20553e-07,0.00046963,0.049123,4.67099e-08,0.000216125,83.7292
29,8.96,750,15000,1000000,1,0.328726,2.20665e-07,0.00046975,3.2e-05,3.1999e-11,5.65676e-06,87.0047
29,8.96,1000,15000,1000000,1,0.328892,2.20722e-07,0.000469811,0,0,0,86.9656
29,8.96,1250,15000,1000000,1,0.328826,2.20699e-07,0.000469787,0,0,0,87.0172
