atomic number, initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
1, 15000, 1000000, 1, 0.004998, 4.97302e-09, 7.05196e-05, 0, 0, 0, 21.0489
2, 15000, 1000000, 1, 0.011892, 1.17506e-08, 0.0001084, 0, 0, 0, 29.8764
3, 15000, 1000000, 1, 0.020976, 2.0536e-08, 0.000143304, 0, 0, 0, 34.7389
4, 15000, 1000000, 1, 0.032352, 3.13053e-08, 0.000176933, 0, 0, 0, 38.9462
5, 15000, 1000000, 1, 0.045442, 4.3377e-08, 0.000208272, 0, 0, 0, 42.5342
6, 15000, 1000000, 1, 0.059017, 5.5534e-08, 0.000235657, 0, 0, 0, 45.8543
7, 15000, 1000000, 1, 0.073764, 6.83229e-08, 0.000261386, 0, 0, 0, 48.9697
8, 15000, 1000000, 1, 0.088854, 8.0959e-08, 0.000284533, 0, 0, 0, 51.6866
9, 15000, 1000000, 1, 0.104251, 9.33827e-08, 0.000305586, 0, 0, 0, 54.2617
10, 15000, 1000000, 1, 0.118814, 1.04697e-07, 0.00032357, 0, 0, 0, 56.7038
11, 15000, 1000000, 1, 0.133607, 1.15756e-07, 0.00034023, 0, 0, 0, 58.9931
12, 15000, 1000000, 1, 0.148323, 1.26323e-07, 0.00035542, 0, 0, 0, 61.08
13, 15000, 1000000, 1, 0.162133, 1.35846e-07, 0.000368573, 0, 0, 0, 63.0748
14, 15000, 1000000, 1, 0.176455, 1.45319e-07, 0.000381207, 0, 0, 0, 64.9614
15, 15000, 1000000, 1, 0.188389, 1.52899e-07, 0.000391022, 0, 0, 0, 66.8554
16, 15000, 1000000, 1, 0.20145, 1.60868e-07, 0.000401083, 0, 0, 0, 68.5169
17, 15000, 1000000, 1, 0.212658, 1.67435e-07, 0.000409188, 0, 0, 0, 70.2639
18, 15000, 1000000, 1, 0.224315, 1.73998e-07, 0.00041713, 0, 0, 0, 71.8855
19, 15000, 1000000, 1, 0.23565, 1.80119e-07, 0.000424404, 0, 0, 0, 75.2957
20, 15000, 1000000, 1, 0.246133, 1.85552e-07, 0.000430757, 0, 0, 0, 74.9364
21, 15000, 1000000, 1, 0.257552, 1.91219e-07, 0.000437286, 0, 0, 0, 76.2389
22, 15000, 1000000, 1, 0.267105, 1.9576e-07, 0.000442448, 0, 0, 0, 77.6313
23, 15000, 1000000, 1, 0.278409, 2.00897e-07, 0.000448216, 0, 0, 0, 78.8962
24, 15000, 1000000, 1, 0.286502, 2.04419e-07, 0.000452127, 0, 0, 0, 80.2473
25, 15000, 1000000, 1, 0.295405, 2.08141e-07, 0.000456225, 0, 0, 0, 81.5431
26, 15000, 1000000, 1, 0.304305, 2.11703e-07, 0.000460112, 0, 0, 0, 82.7763
27, 15000, 1000000, 1, 0.313579, 2.15247e-07, 0.000463947, 0, 0, 0, 83.8825
28, 15000, 1000000, 1, 0.3211, 2.17995e-07, 0.000466899, 0, 0, 0, 85.0535
29, 15000, 1000000, 1, 0.328683, 2.2065e-07, 0.000469734, 0, 0, 0, 86.2028
30, 15000, 1000000, 1, 0.336088, 2.23133e-07, 0.000472369, 0, 0, 0, 87.3594
31, 15000, 1000000, 1, 0.344103, 2.25696e-07, 0.000475075, 0, 0, 0, 88.3741
32, 15000, 1000000, 1, 0.350813, 2.27743e-07, 0.000477225, 0, 0, 0, 89.5013
33, 15000, 1000000, 1, 0.359204, 2.30176e-07, 0.000479767, 0, 0, 0, 90.8824
34, 15000, 1000000, 1, 0.365976, 2.32038e-07, 0.000481703, 0, 0, 0, 91.3914
