atomic number, density (g/cm3), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 0.5, 15000, 1000000, 1, 0.32891, 2.20728e-07, 0.000469817, 0, 0, 0, 86.1737
29, 0.5, 15000, 1000000, 2, 0.328365, 2.20541e-07, 0.000469618, 0, 0, 0, 86.2822
29, 0.5, 15000, 1000000, 3, 0.328847, 2.20707e-07, 0.000469794, 0, 0, 0, 86.2149
29, 0.5, 15000, 1000000, 4, 0.328768, 2.2068e-07, 0.000469765, 0, 0, 0, 86.2331
29, 0.5, 15000, 1000000, 5, 0.329157, 2.20813e-07, 0.000469907, 0, 0, 0, 86.2098
29, 0.5, 15000, 1000000, 6, 0.33005, 2.21117e-07, 0.000470231, 0, 0, 0, 86.0982
29, 0.5, 15000, 1000000, 7, 0.328694, 2.20654e-07, 0.000469738, 0, 0, 0, 86.2838
29, 0.5, 15000, 1000000, 8, 0.328624, 2.2063e-07, 0.000469713, 0, 0, 0, 86.2757
29, 0.5, 15000, 1000000, 9, 0.328855, 2.20709e-07, 0.000469797, 0, 0, 0, 86.2341
29, 0.5, 15000, 1000000, 10, 0.328283, 2.20513e-07, 0.000469588, 0, 0, 0, 86.311
29, 1, 15000, 1000000, 1, 0.328897, 2.20724e-07, 0.000469812, 0, 0, 0, 86.267
29, 1, 15000, 1000000, 2, 0.329495, 2.20928e-07, 0.00047003, 0, 0, 0, 86.2442
29, 1, 15000, 1000000, 3, 0.328833, 2.20702e-07, 0.000469789, 0, 0, 0, 86.2433
29, 1, 15000, 1000000, 4, 0.329053, 2.20777e-07, 0.000469869, 0, 0, 0, 86.262
29, 1, 15000, 1000000, 5, 0.329229, 2.20837e-07, 0.000469933, 0, 0, 0, 86.2308
29, 1, 15000, 1000000, 6, 0.328892, 2.20722e-07, 0.000469811, 0, 0, 0, 86.2464
29, 1, 15000, 1000000, 7, 0.328641, 2.20636e-07, 0.000469719, 0, 0, 0, 86.246
29, 1, 15000, 1000000, 8, 0.329121, 2.208e-07, 0.000469894, 0, 0, 0, 86.2568
29, 1, 15000, 1000000, 9, 0.329103, 2.20794e-07, 0.000469887, 0, 0, 0, 86.2202
29, 1, 15000, 1000000, 10, 0.329034, 2.20771e-07, 0.000469862, 0, 0, 0, 86.2237
29, 2, 15000, 1000000, 1, 0.32957, 2.20954e-07, 0.000470057, 0, 0, 0, 86.1552
29, 2, 15000, 1000000, 2, 0.32889, 2.20721e-07, 0.00046981, 0, 0, 0, 86.2239
29, 2, 15000, 1000000, 3, 0.329548, 2.20946e-07, 0.000470049, 0, 0, 0, 86.1999
29, 2, 15000, 1000000, 4, 0.329065, 2.20781e-07, 0.000469874, 0, 0, 0, 86.2073
29, 2, 15000, 1000000, 5, 0.328853, 2.20709e-07, 0.000469796, 0, 0, 0, 86.2526
29, 2, 15000, 1000000, 6, 0.328483, 2.20582e-07, 0.000469661, 0, 0, 0, 86.3036
29, 2, 15000, 1000000, 7, 0.329159, 2.20813e-07, 0.000469908, 0, 0, 0, 86.2173
29, 2, 15000, 1000000, 8, 0.329638, 2.20977e-07, 0.000470082, 0, 0, 0, 86.1678
29, 2, 15000, 1000000, 9, 0.328777, 2.20683e-07, 0.000469769, 0, 0, 0, 86.2618
29, 2, 15000, 1000000, 10, 0.32857, 2.20612e-07, 0.000469693, 0, 0, 0, 86.2692
29, 3, 15000, 1000000, 1, 0.327729, 2.20323e-07, 0.000469385, 0, 0, 0, 86.3241
29, 3, 15000, 1000000, 2, 0.32929, 2.20858e-07, 0.000469955, 0, 0, 0, 86.1751
29, 3, 15000, 1000000, 3, 0.329175, 2.20819e-07, 0.000469914, 0, 0, 0, 86.1648
29, 3, 15000, 1000000, 4, 0.329364, 2.20883e-07, 0.000469982, 0, 0, 0, 86.2064
29, 3, 15000, 1000000, 5, 0.328347, 2.20535e-07, 0.000469612, 0, 0, 0, 86.3024
29, 3, 15000, 1000000, 6, 0.329694, 2.20996e-07, 0.000470102, 0, 0, 0, 86.1674
29, 3, 15000, 1000000, 7, 0.329356, 2.20881e-07, 0.000469979, 0, 0, 0, 86.1832
29, 3, 15000, 1000000, 8, 0.328456, 2.20573e-07, 0.000469652, 0, 0, 0, 86.284
29, 3, 15000, 1000000, 9, 0.328476, 2.2058e-07, 0.000469659, 0, 0, 0, 86.2621
29, 3, 15000, 1000000, 10, 0.32836, 2.2054e-07, 0.000469617, 0, 0, 0, 86.2711
29, 4, 15000, 1000000, 1, 0.328633, 2.20633e-07, 0.000469716, 0, 0, 0, 86.1961
