atomic number, initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
6, 1000, 1000000, 1, 0.098942, 8.91525e-08, 0.000298584, 0, 0, 0, 6.54653
6, 2000, 1000000, 1, 0.083559, 7.65769e-08, 0.000276725, 0, 0, 0, 10.6491
6, 3000, 1000000, 1, 0.075528, 6.98235e-08, 0.000264241, 0, 0, 0, 14.1484
6, 4000, 1000000, 1, 0.071878, 6.67116e-08, 0.000258286, 0, 0, 0, 17.323
6, 5000, 1000000, 1, 0.069208, 6.44183e-08, 0.000253808, 0, 0, 0, 20.313
6, 10000, 1000000, 1, 0.062177, 5.8311e-08, 0.000241477, 0, 0, 0, 33.7428
6, 15000, 1000000, 1, 0.058985, 5.55058e-08, 0.000235597, 0, 0, 0, 45.8398
6, 20000, 1000000, 1, 0.057459, 5.41575e-08, 0.000232718, 0, 0, 0, 57.2885
6, 25000, 1000000, 1, 0.056997, 5.37483e-08, 0.000231837, 0, 0, 0, 68.2611
6, 30000, 1000000, 1, 0.055715, 5.26108e-08, 0.000229371, 0, 0, 0, 78.9815
6, 40000, 1000000, 1, 0.05567, 5.25709e-08, 0.000229283, 0, 0, 0, 99.7578
6, 50000, 1000000, 1, 0.055577, 5.24882e-08, 0.000229103, 0, 0, 0, 120.04
6, 60000, 1000000, 1, 0.055671, 5.25717e-08, 0.000229285, 0, 0, 0, 139.951
13, 1000, 1000000, 1, 0.225905, 1.74872e-07, 0.000418177, 0, 0, 0, 9.70247
13, 2000, 1000000, 1, 0.200602, 1.60361e-07, 0.000400451, 0, 0, 0, 15.4654
13, 3000, 1000000, 1, 0.188884, 1.53207e-07, 0.000391416, 0, 0, 0, 20.3567
13, 4000, 1000000, 1, 0.181794, 1.48745e-07, 0.000385675, 0, 0, 0, 24.7727
13, 5000, 1000000, 1, 0.177967, 1.46295e-07, 0.000382485, 0, 0, 0, 28.8465
13, 10000, 1000000, 1, 0.167268, 1.39289e-07, 0.000373215, 0, 0, 0, 46.906
13, 15000, 1000000, 1, 0.161544, 1.35448e-07, 0.000368032, 0, 0, 0, 63.1266
13, 20000, 1000000, 1, 0.159545, 1.3409e-07, 0.000366184, 0, 0, 0, 78.1943
13, 25000, 1000000, 1, 0.158282, 1.33229e-07, 0.000365005, 0, 0, 0, 92.6913
13, 30000, 1000000, 1, 0.157688, 1.32822e-07, 0.000364448, 0, 0, 0, 106.742
13, 40000, 1000000, 1, 0.158588, 1.33438e-07, 0.000365291, 0, 0, 0, 133.772
13, 50000, 1000000, 1, 0.158357, 1.3328e-07, 0.000365075, 0, 0, 0, 160.259
13, 60000, 1000000, 1, 0.160368, 1.3465e-07, 0.000366947, 0, 0, 0, 185.934
14, 1000, 1000000, 1, 0.241099, 1.8297e-07, 0.00042775, 0, 0, 0, 10.095
14, 2000, 1000000, 1, 0.216332, 1.69532e-07, 0.000411743, 0, 0, 0, 16.0555
14, 3000, 1000000, 1, 0.20366, 1.62183e-07, 0.000402719, 0, 0, 0, 21.1019
14, 4000, 1000000, 1, 0.196413, 1.57835e-07, 0.000397284, 0, 0, 0, 25.6307
