atomic number, initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 10000, 10, 1, 0.5, 0.025, 0.158114, 0, 0, 0, 0.00140902
29, 10000, 10, 2, 0, 0, 0, 0, 0, 0, 0.000874345
29, 10000, 10, 3, 0.2, 0.016, 0.126491, 0, 0, 0, 0.000744277
29, 10000, 10, 4, 0.5, 0.025, 0.158114, 0, 0, 0, 0.000550948
29, 10000, 10, 5, 0.4, 0.024, 0.154919, 0, 0, 0, 0.000630116
29, 10000, 10, 6, 0.2, 0.016, 0.126491, 0, 0, 0, 0.000731322
29, 10000, 10, 7, 0.8, 0.016, 0.126491, 0, 0, 0, 0.000346484
29, 10000, 10, 8, 0.4, 0.024, 0.154919, 0, 0, 0, 0.000569167
29, 10000, 10, 9, 0.3, 0.021, 0.144914, 0, 0, 0, 0.000751575
29, 10000, 10, 10, 0.4, 0.024, 0.154919, 0, 0, 0, 0.000625548
29, 10000, 100, 1, 0.38, 0.002356, 0.0485386, 0, 0, 0, 0.00626062
29, 10000, 100, 2, 0.34, 0.002244, 0.0473709, 0, 0, 0, 0.0066287
29, 10000, 100, 3, 0.28, 0.002016, 0.0448999, 0, 0, 0, 0.00703045
29, 10000, 100, 4, 0.33, 0.002211, 0.0470213, 0, 0, 0, 0.00668236
29, 10000, 100, 5, 0.38, 0.002356, 0.0485386, 0, 0, 0, 0.00621738
29, 10000, 100, 6, 0.35, 0.002275, 0.047697, 0, 0, 0, 0.00633858
29, 10000, 100, 7, 0.41, 0.002419, 0.0491833, 0, 0, 0, 0.00605994
29, 10000, 100, 8, 0.27, 0.001971, 0.0443959, 0, 0, 0, 0.00706802
29, 10000, 100, 9, 0.32, 0.002176, 0.0466476, 0, 0, 0, 0.00670698
29, 10000, 100, 10, 0.41, 0.002419, 0.0491833, 0, 0, 0, 0.00593496
29, 10000, 1000, 1, 0.322, 0.000218316, 0.0147755, 0, 0, 0, 0.0662137
29, 10000, 1000, 2, 0.341, 0.000224719, 0.0149906, 0, 0, 0, 0.0645698
29, 10000, 1000, 3, 0.343, 0.000225351, 0.0150117, 0, 0, 0, 0.0651875
29, 10000, 1000, 4, 0.316, 0.000216144, 0.0147018, 0, 0, 0, 0.066371
29, 10000, 1000, 5, 0.36, 0.0002304, 0.0151789, 0, 0, 0, 0.0643907
29, 10000, 1000, 6, 0.328, 0.000220416, 0.0148464, 0, 0, 0, 0.0659256
29, 10000, 1000, 7, 0.336, 0.000223104, 0.0149367, 0, 0, 0, 0.0654151
