atomic number, thickness (nm), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
6, 5, 15000, 1000000, 1, 0.000826935, 3.97242e-09, 6.30271e-05, 0.999828, 1.7197e-10, 1.31137e-05, 0.136429
6, 10, 15000, 1000000, 1, 0.00113361, 3.0274e-09, 5.50218e-05, 0.999576, 4.2382e-10, 2.05869e-05, 0.180929
6, 20, 15000, 1000000, 1, 0.00116067, 1.90864e-09, 4.3688e-05, 0.999295, 7.04503e-10, 2.65425e-05, 0.268537
6, 30, 15000, 1000000, 1, 0.00157681, 2.08782e-09, 4.56927e-05, 0.998811, 1.18759e-09, 3.44614e-05, 0.358502
6, 40, 15000, 1000000, 1, 0.00188368, 2.2218e-09, 4.7136e-05, 0.998406, 1.59146e-09, 3.98931e-05, 0.447941
6, 50, 15000, 1000000, 1, 0.00218839, 2.41708e-09, 4.91638e-05, 0.998023, 1.97309e-09, 4.44195e-05, 0.536728
6, 100, 15000, 1000000, 1, 0.00444944, 4.47129e-09, 6.68677e-05, 0.995592, 4.38857e-09, 6.62463e-05, 1.00004
6, 150, 15000, 1000000, 1, 0.00718067, 7.13574e-09, 8.44733e-05, 0.992819, 7.12943e-09, 8.4436e-05, 1.49016
6, 200, 15000, 1000000, 1, 0.0105118, 1.04021e-08, 0.00010199, 0.989433, 1.04553e-08, 0.000102251, 2.0114
6, 250, 15000, 1000000, 1, 0.0140461, 1.38488e-08, 0.000117681, 0.985717, 1.4079e-08, 0.000118655, 2.57286
6, 500, 15000, 1000000, 1, 0.038218, 3.67574e-08, 0.000191722, 0.950551, 4.70038e-08, 0.000216804, 6.31832
6, 750, 15000, 1000000, 1, 0.055905, 5.27796e-08, 0.000229738, 0.878356, 1.06847e-07, 0.000326874, 12.1568
6, 1000, 15000, 1000000, 1, 0.059314, 5.57958e-08, 0.000236211, 0.760207, 1.82292e-07, 0.000426957, 19.7611
6, 1250, 15000, 1000000, 1, 0.058923, 5.54511e-08, 0.000235481, 0.596009, 2.40782e-07, 0.000490696, 28.0869
6, 1500, 15000, 1000000, 1, 0.059101, 5.56081e-08, 0.000235814, 0.39311, 2.38575e-07, 0.000488441, 36.0088
6, 1750, 15000, 1000000, 1, 0.058913, 5.54423e-08, 0.000235462, 0.181939, 1.48837e-07, 0.000385794, 42.2457
6, 2000, 15000, 1000000, 1, 0.058848, 5.53849e-08, 0.00023534, 0.032009, 3.09844e-08, 0.000176024, 45.4458
6, 2250, 15000, 1000000, 1, 0.059055, 5.55675e-08, 0.000235728, 3.2e-05, 3.1999e-11, 5.65676e-06, 45.8561
6, 2500, 15000, 1000000, 1, 0.05906, 5.55719e-08, 0.000235737, 0, 0, 0, 45.8497
6, 3000, 15000, 1000000, 1, 0.05936, 5.58364e-08, 0.000236297, 0, 0, 0, 45.8449
6, 4000, 15000, 1000000, 1, 0.058953, 5.54775e-08, 0.000235537, 0, 0, 0, 45.862
6, 5000, 15000, 1000000, 1, 0.059242, 5.57324e-08, 0.000236077, 0, 0, 0, 45.8302
13, 5, 15000, 1000000, 1, 0.00160397, 6.17453e-09, 7.85781e-05, 0.999584, 4.15827e-10, 2.03918e-05, 0.149395
13, 10, 15000, 1000000, 1, 0.00178595, 3.95028e-09, 6.28513e-05, 0.999194, 8.0535e-10, 2.83787e-05, 0.205763
13, 20, 15000, 1000000, 1, 0.0023184, 3.30816e-09, 5.75166e-05, 0.998379, 1.61837e-09, 4.0229e-05, 0.321219
13, 30, 15000, 1000000, 1, 0.0030432, 3.63214e-09, 6.02673e-05, 0.997458, 2.53554e-09, 5.03541e-05, 0.437649
13, 40, 15000, 1000000, 1, 0.00383253, 4.19855e-09, 6.47962e-05, 0.996515, 3.47285e-09, 5.89309e-05, 0.554583
13, 50, 15000, 1000000, 1, 0.00476834, 4.99419e-09, 7.06696e-05, 0.995469, 4.51047e-09, 6.716e-05, 0.674617
13, 100, 15000, 1000000, 1, 0.0107834, 1.06934e-08, 0.000103409, 0.989243, 1.06413e-08, 0.000103157, 1.30845
13, 150, 15000, 1000000, 1, 0.0183892, 1.80533e-08, 0.000134363, 0.981612, 1.80499e-08, 0.00013435, 2.01177
13, 200, 15000, 1000000, 1, 0.0283301, 2.75276e-08, 0.000165914, 0.971621, 2.75736e-08, 0.000166053, 2.80914
13, 250, 15000, 1000000, 1, 0.040275, 3.86529e-08, 0.000196603, 0.959468, 3.88892e-08, 0.000197203, 3.71295
13, 500, 15000, 1000000, 1, 0.112828, 1.00098e-07, 0.000316382, 0.86557, 1.16359e-07, 0.000341114, 10.6919
13, 750, 15000, 1000000, 1, 0.155931, 1.31617e-07, 0.00036279, 0.719401, 2.01863e-07, 0.000449292, 22.2289
13, 1000, 15000, 1000000, 1, 0.161722, 1.35568e-07, 0.000368196, 0.544612, 2.4801e-07, 0.000498006, 35.2112
13, 1250, 15000, 1000000, 1, 0.162565, 1.36138e-07, 0.000368968, 0.359178, 2.30169e-07, 0.000479759, 46.7716
13, 1500, 15000, 1000000, 1, 0.162669, 1.36208e-07, 0.000369063, 0.191183, 1.54632e-07, 0.000393233, 55.5366
13, 1750, 15000, 1000000, 1, 0.162747, 1.3626e-07, 0.000369135, 0.070276, 6.53373e-08, 0.000255612, 60.7347
13, 2000, 15000, 1000000, 1, 0.162506, 1.36098e-07, 0.000368914, 0.012124, 1.1977e-08, 0.00010944, 62.7551
13, 2250, 15000, 1000000, 1, 0.161459, 1.3539e-07, 0.000367954, 0.000309, 3.08905e-10, 1.75757e-05, 63.1
13, 2500, 15000, 1000000, 1, 0.161759, 1.35593e-07, 0.00036823, 0, 0, 0, 63.1203
13, 3000, 15000, 1000000, 1, 0.162492, 1.36088e-07, 0.000368902, 0, 0, 0, 63.0723
13, 4000, 15000, 1000000, 1, 0.162039, 1.35782e-07, 0.000368487, 0, 0, 0, 63.0744
13, 5000, 15000, 1000000, 1, 0.161986, 1.35747e-07, 0.000368438, 0, 0, 0, 63.0886
14, 5, 15000, 1000000, 1, 0.00149201, 6.2089e-09, 7.87966e-05, 0.999642, 3.57872e-10, 1.89175e-05, 0.144439
14, 10, 15000, 1000000, 1, 0.00180855, 4.26789e-09, 6.53291e-05, 0.999235, 7.64415e-10, 2.76481e-05, 0.196547
14, 20, 15000, 1000000, 1, 0.00240549, 3.59654e-09, 5.99711e-05, 0.998395, 1.60242e-09, 4.00303e-05, 0.301945
14, 30, 15000, 1000000, 1, 0.00297015, 3.66636e-09, 6.05505e-05, 0.997601, 2.39324e-09, 4.89208e-05, 0.406987
14, 40, 15000, 1000000, 1, 0.00376505, 4.2181e-09, 6.49469e-05, 0.996652, 3.33679e-09, 5.7765e-05, 0.515864
14, 50, 15000, 1000000, 1, 0.00464349, 4.93831e-09, 7.02731e-05, 0.995654, 4.32711e-09, 6.57808e-05, 0.624945
14, 100, 15000, 1000000, 1, 0.0103889, 1.03246e-08, 0.00010161, 0.989655, 1.0238e-08, 0.000101183, 1.19817
14, 150, 15000, 1000000, 1, 0.0177296, 1.74198e-08, 0.000131984, 0.982275, 1.74108e-08, 0.00013195, 1.83331
14, 200, 15000, 1000000, 1, 0.0265624, 2.58572e-08, 0.000160802, 0.973428, 2.58659e-08, 0.000160829, 2.5389
14, 250, 15000, 1000000, 1, 0.037484, 3.60789e-08, 0.000189945, 0.962436, 3.61529e-08, 0.000190139, 3.33518
14, 500, 15000, 1000000, 1, 0.107603, 9.60246e-08, 0.000309878, 0.879797, 1.05754e-07, 0.000325199, 9.28442
14, 750, 15000, 1000000, 1, 0.160532, 1.34761e-07, 0.000367099, 0.754515, 1.85222e-07, 0.000430374, 19.1821
14, 1000, 15000, 1000000, 1, 0.175121, 1.44454e-07, 0.000380071, 0.60023, 2.39954e-07, 0.000489851, 31.3399
14, 1250, 15000, 1000000, 1, 0.175072, 1.44422e-07, 0.000380029, 0.435117, 2.4579e-07, 0.000495772, 42.99
14, 1500, 15000, 1000000, 1, 0.175539, 1.44725e-07, 0.000380427, 0.275887, 1.99773e-07, 0.00044696, 52.5444
14, 1750, 15000, 1000000, 1, 0.175883, 1.44948e-07, 0.000380721, 0.142487, 1.22184e-07, 0.000349549, 59.3455
